HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
H244,陽光勇士(H244),沙田,Turf,1600,2,12,6,-8.8,18.47,16.67,50.0,-73.33
H396,家樂龍駒(H396),跑馬地,Turf,1200,2,12,4,-3.4000000000000004,9.33,16.67,33.33,-28.33
H399,錶之銀河(H399),沙田,Turf,1600,2,12,5,-3.5999999999999996,8.73,16.67,41.67,-30.0
H465,全神貫注(H465),沙田,Turf,1400,2,12,6,2.1999999999999993,12.08,16.67,50.0,18.33
J152,旋風傳奇(J152),沙田,Turf,1400,2,12,5,15.0,13.12,16.67,41.67,125.0
J228,精算激流(J228),沙田,Turf,1400,2,12,3,11.9,16.34,16.67,25.0,99.17
J303,得道猴王(J303),跑馬地,Turf,1200,2,12,3,1.5999999999999996,8.65,16.67,25.0,13.33
J339,昭易搵(J339),沙田,Turf,1600,2,12,6,15.399999999999999,8.81,16.67,50.0,128.33
J360,三軍勇將(J360),跑馬地,Turf,1200,2,12,5,0.20000000000000018,7.87,16.67,41.67,1.67
J363,巴基之勝(J363),沙田,Turf,1200,2,12,6,19.6,14.08,16.67,50.0,163.33
J365,贏得自然(J365),沙田,AWT,1200,2,12,3,18.0,18.22,16.67,25.0,150.0
J446,將義(J446),跑馬地,Turf,1650,2,12,4,3.4000000000000004,15.0,16.67,33.33,28.33
J451,威武年代(J451),沙田,Turf,1400,2,12,9,-2.0999999999999996,10.62,16.67,75.0,-17.5
J513,輕功猛男(J513),跑馬地,Turf,1200,2,12,4,17.2,19.8,16.67,33.33,143.33
G427,閃耀威龍(G427),沙田,AWT,1650,1,12,4,-2.0,15.22,8.33,33.33,-16.67
G465,博愛先鋒(G465),沙田,Turf,1400,1,12,4,-2.6999999999999993,16.31,8.33,33.33,-22.5
H377,無限美麗(H377),跑馬地,Turf,1200,1,12,3,-8.8,12.1,8.33,25.0,-73.33
H456,川河動駒(H456),跑馬地,Turf,1200,1,12,5,-9.0,6.4,8.33,41.67,-75.0
H461,金勝名駒(H461),沙田,Turf,1600,1,12,1,0.0,37.38,8.33,8.33,0.0
J071,超強六十(J071),跑馬地,Turf,1000,1,12,4,-8.2,10.78,8.33,33.33,-68.33
J164,時尚風趣(J164),跑馬地,Turf,1200,1,12,3,-7.7,23.46,8.33,25.0,-64.17
J359,天下寵兒(J359),跑馬地,Turf,1200,1,12,4,-7.2,14.58,8.33,33.33,-60.0
J501,綫路達飛(J501),跑馬地,Turf,1200,1,12,2,-9.6,39.94,8.33,16.67,-80.0
K017,雷神太保(K017),跑馬地,Turf,1200,1,12,5,-9.8,10.29,8.33,41.67,-81.67
D482,電訊巴打(D482),跑馬地,Turf,1650,0,12,3,-12.0,26.58,0.0,25.0,-100.0
G213,魅力寶駒(G213),跑馬地,Turf,1200,0,12,3,-12.0,14.71,0.0,25.0,-100.0
H068,妙玲瓏(H068),跑馬地,Turf,1200,0,12,2,-12.0,35.68,0.0,16.67,-100.0
H320,飛雲(H320),跑馬地,Turf,1200,0,12,3,-12.0,10.38,0.0,25.0,-100.0
H354,精算特殊(H354),沙田,Turf,1600,0,12,4,-12.0,12.0,0.0,33.33,-100.0
G268,勇敢巨星(G268),跑馬地,Turf,1200,4,11,8,20.5,21.29,36.36,72.73,186.36
