Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
巫偉傑,跑馬地,Turf,1000,5,39,13,12.3,17.95,12.82,33.33,31.54
伍鵬志,沙田,Turf,1800,4,38,11,5.0,26.1,10.53,28.95,13.16
沈集成,跑馬地,Turf,1000,3,38,17,-22.6,17.42,7.89,44.74,-59.47
伍鵬志,沙田,AWT,1200,2,38,10,-22.2,24.76,5.26,26.32,-58.42
桂福特,跑馬地,Turf,1200,2,38,10,-22.6,24.5,5.26,26.32,-59.47
容天鵬,跑馬地,Turf,1650,0,38,1,-38.0,52.44,0.0,2.63,-100.0
羅富全,沙田,Turf,1800,3,37,6,8.7,50.08,8.11,16.22,23.51
廖康銘,沙田,Turf,1000,2,37,10,-26.5,26.34,5.41,27.03,-71.62
葉楚航,沙田,AWT,1650,2,37,6,22.0,31.39,5.41,16.22,59.46
黎昭昇,跑馬地,Turf,1000,1,37,10,-34.3,15.5,2.7,27.03,-92.7
黎昭昇,沙田,AWT,1200,0,37,5,-37.0,49.92,0.0,13.51,-100.0
羅富全,跑馬地,Turf,1000,5,36,14,-12.3,7.94,13.89,38.89,-34.17
鄭俊偉,沙田,Turf,1000,3,36,10,27.0,61.92,8.33,27.78,75.0
羅富全,跑馬地,Turf,1800,1,36,10,-30.3,18.58,2.78,27.78,-84.17
葉楚航,跑馬地,Turf,1000,1,36,8,-31.1,12.42,2.78,22.22,-86.39
沈集成,跑馬地,Turf,1800,9,35,14,35.0,14.22,25.71,40.0,100.0
黎昭昇,沙田,Turf,1000,5,35,13,-18.7,20.32,14.29,37.14,-53.43
方嘉柏,沙田,Turf,1000,3,35,6,-27.1,27.7,8.57,17.14,-77.43
文家良,沙田,AWT,1650,2,35,7,-3.0,19.99,5.71,20.0,-8.57
韋達,沙田,AWT,1200,0,35,2,-35.0,54.96,0.0,5.71,-100.0
姚本輝,沙田,Turf,1800,4,34,6,44.8,24.48,11.76,17.65,131.76
文家良,跑馬地,Turf,1000,3,34,7,-18.2,33.36,8.82,20.59,-53.53
黎昭昇,沙田,Turf,1600,3,34,9,-10.1,43.54,8.82,26.47,-29.71
容天鵬,沙田,Turf,1600,2,34,7,-18.9,36.66,5.88,20.59,-55.59
伍鵬志,沙田,Turf,2000,0,34,6,-34.0,21.94,0.0,17.65,-100.0
蔡約翰,沙田,Turf,2000,3,32,8,-12.1,18.14,9.38,25.0,-37.81
徐雨石,沙田,AWT,1650,2,31,5,37.0,32.5,6.45,16.13,119.35
姚本輝,沙田,Turf,2000,2,30,10,-22.9,24.32,6.67,33.33,-76.33
徐雨石,沙田,Turf,1600,2,30,6,-2.0,56.01,6.67,20.0,-6.67
鄭俊偉,跑馬地,Turf,1000,2,29,6,-2.8999999999999986,47.48,6.9,20.69,-10.0
徐雨石,沙田,Turf,1000,1,29,3,-23.0,47.2,3.45,10.34,-79.31
方嘉柏,沙田,Turf,1800,1,29,9,-23.5,13.61,3.45,31.03,-81.03
蔡約翰,跑馬地,Turf,1000,1,29,6,-18.0,18.75,3.45,20.69,-62.07
容天鵬,沙田,AWT,1200,2,28,9,-6.6,23.64,7.14,32.14,-23.57
姚本輝,跑馬地,Turf,1800,1,28,5,2.0,24.93,3.57,17.86,7.14
游達榮,沙田,Turf,1800,0,28,3,-28.0,45.95,0.0,10.71,-100.0
賀賢,跑馬地,Turf,1800,3,27,8,12.8,21.62,11.11,29.63,47.41
沈集成,沙田,Turf,1800,2,27,4,-19.1,40.53,7.41,14.81,-70.74
蔡約翰,跑馬地,Turf,1800,2,27,5,-20.5,16.73,7.41,18.52,-75.93
姚本輝,沙田,Turf,1000,1,27,5,-20.6,30.17,3.7,18.52,-76.3
大衛希斯,沙田,Turf,2000,0,26,4,-26.0,28.68,0.0,15.38,-100.0
蘇偉賢,跑馬地,Turf,1000,0,26,0,-26.0,46.64,0.0,0.0,-100.0
呂健威,跑馬地,Turf,1800,4,25,5,16.9,22.05,16.0,20.0,67.6
廖康銘,跑馬地,Turf,1800,2,25,8,-17.9,16.71,8.0,32.0,-71.6
韋達,跑馬地,Turf,1800,2,25,5,-14.2,25.36,8.0,20.0,-56.8
呂健威,沙田,AWT,1200,1,25,3,-11.0,35.09,4.0,12.0,-44.0
姚本輝,跑馬地,Turf,1000,1,25,3,4.0,29.6,4.0,12.0,16.0
蘇偉賢,沙田,AWT,1650,1,25,5,-10.0,40.42,4.0,20.0,-40.0
廖康銘,沙田,Turf,2000,4,24,9,-3.5,15.08,16.67,37.5,-14.58
游達榮,跑馬地,Turf,1800,2,24,4,-14.5,27.86,8.33,16.67,-60.42
沈集成,沙田,Turf,1000,1,24,2,-19.3,46.21,4.17,8.33,-80.42
蘇偉賢,沙田,Turf,1800,1,24,6,-19.6,28.05,4.17,25.0,-81.67
葉楚航,沙田,Turf,1800,0,24,1,-24.0,27.16,0.0,4.17,-100.0
沈集成,沙田,Turf,2000,8,23,10,-8.2,18.78,34.78,43.48,-35.65
葉楚航,沙田,Turf,2000,4,23,5,47.8,33.1,17.39,21.74,207.83
呂健威,沙田,Turf,1800,3,23,8,-5.4,11.96,13.04,34.78,-23.48
桂福特,沙田,Turf,1600,2,23,7,-2.0,19.53,8.7,30.43,-8.7
游達榮,沙田,AWT,1200,1,23,7,-20.2,22.35,4.35,30.43,-87.83
羅富全,沙田,Turf,2000,1,23,5,-17.0,47.94,4.35,21.74,-73.91
賀賢,沙田,Turf,2000,0,23,5,-23.0,26.92,0.0,21.74,-100.0
賀賢,跑馬地,Turf,1000,0,23,2,-23.0,41.95,0.0,8.7,-100.0
伍鵬志,沙田,AWT,1800,2,22,5,-14.6,16.97,9.09,22.73,-66.36
游達榮,跑馬地,Turf,1000,2,21,7,-11.6,23.87,9.52,33.33,-55.24
葉楚航,跑馬地,Turf,1800,2,21,3,0.0,30.02,9.52,14.29,0.0
廖康銘,沙田,Turf,1800,1,21,4,-9.0,28.0,4.76,19.05,-42.86
伍鵬志,跑馬地,Turf,2200,0,21,5,-21.0,17.91,0.0,23.81,-100.0
蘇偉賢,跑馬地,Turf,1800,0,21,5,-21.0,22.35,0.0,23.81,-100.0
巫偉傑,沙田,Turf,1800,0,20,4,-20.0,46.76,0.0,20.0,-100.0
巫偉傑,跑馬地,Turf,1800,0,20,1,-20.0,22.18,0.0,5.0,-100.0
告東尼,跑馬地,Turf,2200,2,19,5,-10.0,10.33,10.53,26.32,-52.63
賀賢,沙田,Turf,1800,1,19,4,-12.2,27.91,5.26,21.05,-64.21
呂健威,沙田,AWT,1650,0,19,1,-19.0,26.79,0.0,5.26,-100.0
鄭俊偉,跑馬地,Turf,1800,0,19,2,-19.0,36.63,0.0,10.53,-100.0
韋達,沙田,Turf,1800,0,19,3,-19.0,41.66,0.0,15.79,-100.0
黎昭昇,沙田,AWT,1650,0,19,4,-19.0,33.51,0.0,21.05,-100.0
丁冠豪,沙田,Turf,1000,2,18,3,-9.6,42.73,11.11,16.67,-53.33
賀賢,沙田,AWT,1650,2,18,3,21.0,20.69,11.11,16.67,116.67
游達榮,沙田,Turf,2000,1,18,2,-14.7,30.45,5.56,11.11,-81.67
鄭俊偉,沙田,Turf,1800,1,18,3,-6.0,36.91,5.56,16.67,-33.33
丁冠豪,沙田,AWT,1650,0,18,3,-18.0,29.1,0.0,16.67,-100.0
巫偉傑,沙田,AWT,1650,0,18,0,-18.0,61.96,0.0,0.0,-100.0
方嘉柏,沙田,Turf,2000,0,18,1,-18.0,16.03,0.0,5.56,-100.0
韋達,沙田,AWT,1650,0,18,1,-18.0,67.14,0.0,5.56,-100.0
沈集成,跑馬地,Turf,2200,2,17,7,6.4,16.37,11.76,41.18,37.65
丁冠豪,跑馬地,Turf,1000,3,16,5,53.0,14.85,18.75,31.25,331.25
葉楚航,跑馬地,Turf,2200,3,16,5,-1.5999999999999996,18.15,18.75,31.25,-10.0
桂福特,沙田,AWT,1200,2,16,5,-8.8,23.5,12.5,31.25,-55.0
蘇偉賢,沙田,Turf,2000,1,16,3,-11.0,33.87,6.25,18.75,-68.75
賀賢,跑馬地,Turf,2200,1,16,6,-13.0,10.34,6.25,37.5,-81.25
蔡約翰,跑馬地,Turf,2200,2,15,7,-1.7999999999999998,11.45,13.33,46.67,-12.0
丁冠豪,沙田,Turf,1800,1,15,3,-2.0,23.59,6.67,20.0,-13.33
呂健威,跑馬地,Turf,1000,1,15,3,-1.0,39.07,6.67,20.0,-6.67
丁冠豪,跑馬地,Turf,1800,0,15,2,-15.0,21.16,0.0,13.33,-100.0
容天鵬,沙田,Turf,1000,0,15,5,-15.0,17.69,0.0,33.33,-100.0
呂健威,沙田,Turf,2000,4,14,9,22.8,19.38,28.57,64.29,162.86
游達榮,沙田,Turf,1000,1,14,3,-10.2,41.59,7.14,21.43,-72.86
容天鵬,沙田,AWT,1650,0,14,2,-14.0,33.5,0.0,14.29,-100.0
桂福特,跑馬地,Turf,1650,0,14,3,-14.0,35.09,0.0,21.43,-100.0
徐雨石,跑馬地,Turf,1800,2,13,3,5.9,40.46,15.38,23.08,45.38
丁冠豪,沙田,AWT,1800,1,13,3,-6.0,32.45,7.69,23.08,-46.15
文家良,沙田,Turf,1800,1,13,4,-9.5,29.97,7.69,30.77,-73.08
丁冠豪,沙田,AWT,1200,0,13,3,-13.0,28.85,0.0,23.08,-100.0
告東尼,沙田,AWT,1800,0,13,3,-13.0,30.06,0.0,23.08,-100.0
桂福特,沙田,Turf,1000,0,13,3,-13.0,42.35,0.0,23.08,-100.0
沈集成,沙田,AWT,1800,5,12,6,8.0,6.18,41.67,50.0,66.67
桂福特,跑馬地,Turf,1800,2,12,4,-2.5,35.91,16.67,33.33,-20.83
大衛希斯,沙田,AWT,1800,1,12,3,0.0,31.18,8.33,25.0,0.0
容天鵬,跑馬地,Turf,1000,2,11,5,-1.3000000000000003,17.66,18.18,45.45,-11.82
丁冠豪,沙田,Turf,2000,1,11,2,-7.0,25.44,9.09,18.18,-63.64
徐雨石,沙田,Turf,1800,0,11,3,-11.0,34.36,0.0,27.27,-100.0
黎昭昇,跑馬地,Turf,1800,0,11,2,-11.0,45.75,0.0,18.18,-100.0
葉楚航,沙田,AWT,1800,1,10,3,-3.8,26.09,10.0,30.0,-38.0
告東尼,沙田,Turf,2400,0,10,2,-10.0,35.51,0.0,20.0,-100.0
蘇偉賢,沙田,AWT,1800,0,10,4,-10.0,21.65,0.0,40.0,-100.0
鄭俊偉,沙田,AWT,1800,0,10,2,-10.0,30.44,0.0,20.0,-100.0
黎昭昇,跑馬地,Turf,2200,0,10,2,-10.0,14.66,0.0,20.0,-100.0
文家良,沙田,Turf,2000,2,9,3,-1.0,8.39,22.22,33.33,-11.11
文家良,跑馬地,Turf,1800,1,9,2,0.40000000000000036,16.13,11.11,22.22,4.44
徐雨石,沙田,Turf,2000,0,9,0,-9.0,18.1,0.0,0.0,-100.0
蔡約翰,沙田,AWT,1800,0,9,3,-9.0,16.63,0.0,33.33,-100.0
大衛希斯,跑馬地,Turf,2200,2,8,3,4.699999999999999,15.15,25.0,37.5,58.75
方嘉柏,跑馬地,Turf,2200,1,8,2,-2.5999999999999996,14.66,12.5,25.0,-32.5
桂福特,沙田,AWT,1650,1,8,1,-0.2999999999999998,31.01,12.5,12.5,-3.75
容天鵬,沙田,Turf,1800,0,8,2,-8.0,38.74,0.0,25.0,-100.0
巫偉傑,沙田,Turf,2000,0,8,1,-8.0,48.31,0.0,12.5,-100.0
韋達,沙田,Turf,2000,0,8,0,-8.0,65.88,0.0,0.0,-100.0
文家良,跑馬地,Turf,2200,2,7,4,4.300000000000001,16.36,28.57,57.14,61.43
廖康銘,跑馬地,Turf,2200,1,7,1,-4.2,9.51,14.29,14.29,-60.0
方嘉柏,沙田,AWT,1800,1,7,1,13.0,10.19,14.29,14.29,185.71
桂福特,沙田,Turf,1800,1,7,4,0.9000000000000004,14.8,14.29,57.14,12.86
蔡約翰,沙田,Turf,2400,1,7,1,-5.2,15.47,14.29,14.29,-74.29
丁冠豪,跑馬地,Turf,2200,0,7,0,-7.0,21.1,0.0,0.0,-100.0
容天鵬,跑馬地,Turf,1800,0,7,0,-7.0,32.6,0.0,0.0,-100.0
游達榮,沙田,AWT,1800,0,7,0,-7.0,32.57,0.0,0.0,-100.0
蘇偉賢,跑馬地,Turf,2200,0,7,1,-7.0,14.84,0.0,14.29,-100.0
徐雨石,跑馬地,Turf,2200,1,6,1,-1.9000000000000004,20.08,16.67,16.67,-31.67
姚本輝,跑馬地,Turf,2200,0,6,0,-6.0,20.0,0.0,0.0,-100.0
羅富全,沙田,AWT,1800,0,6,1,-6.0,27.4,0.0,16.67,-100.0
