Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
潘明輝,沙田,AWT,1650,4,45,8,0.40000000000000036,21.76,8.89,17.78,0.89
田泰安,沙田,AWT,1650,4,45,12,-9.7,15.26,8.89,26.67,-21.56
巴度,沙田,AWT,1200,3,45,8,-12.200000000000001,26.96,6.67,17.78,-27.11
艾道拿,沙田,AWT,1200,1,45,7,-35.8,27.39,2.22,15.56,-79.56
艾道拿,沙田,Turf,1000,6,44,21,5.1000000000000005,21.07,13.64,47.73,11.59
霍宏聲,跑馬地,Turf,1000,5,44,19,20.2,15.04,11.36,43.18,45.91
賀銘年,沙田,Turf,1400,4,44,11,76.3,47.5,9.09,25.0,173.41
蔡明紹,沙田,AWT,1650,1,44,6,-37.3,29.97,2.27,13.64,-84.77
鍾易禮,沙田,AWT,1200,2,43,8,-11.0,42.62,4.65,18.6,-25.58
巫顯東,沙田,Turf,1400,0,43,1,-43.0,111.8,0.0,2.33,-100.0
周俊樂,沙田,AWT,1200,2,42,6,-19.5,32.74,4.76,14.29,-46.43
希威森,跑馬地,Turf,1000,1,42,8,-39.3,43.62,2.38,19.05,-93.57
班德禮,跑馬地,Turf,1000,5,41,10,0.600000000000001,20.17,12.2,24.39,1.46
楊明綸,沙田,AWT,1650,3,41,8,-10.7,47.56,7.32,19.51,-26.1
巫顯東,沙田,Turf,1200,1,41,3,-37.7,105.25,2.44,7.32,-91.95
布文,跑馬地,Turf,1800,9,40,15,7.9,11.09,22.5,37.5,19.75
梁家俊,沙田,Turf,1000,5,40,13,14.9,36.05,12.5,32.5,37.25
田泰安,沙田,Turf,1800,4,40,11,1.0,22.53,10.0,27.5,2.5
黃智弘,沙田,AWT,1200,3,40,12,-16.5,15.44,7.5,30.0,-41.25
布文,沙田,Turf,1000,1,40,10,-37.5,16.74,2.5,25.0,-93.75
金誠剛,跑馬地,Turf,1650,1,40,7,-34.7,28.7,2.5,17.5,-86.75
湯普新,跑馬地,Turf,1650,0,40,5,-40.0,51.34,0.0,12.5,-100.0
田泰安,跑馬地,Turf,1800,6,39,10,20.8,15.37,15.38,25.64,53.33
希威森,沙田,AWT,1650,5,39,11,-4.300000000000001,25.86,12.82,28.21,-11.03
麥道朗,沙田,Turf,1400,5,39,16,-26.1,10.07,12.82,41.03,-66.92
鍾易禮,跑馬地,Turf,1000,6,38,12,27.4,24.31,15.79,31.58,72.11
布文,沙田,AWT,1650,3,38,14,-25.0,11.81,7.89,36.84,-65.79
賀銘年,沙田,Turf,1200,1,38,5,-25.0,41.73,2.63,13.16,-65.79
黃智弘,跑馬地,Turf,1000,4,37,13,-12.9,15.04,10.81,35.14,-34.86
蔡明紹,跑馬地,Turf,1000,3,37,10,-22.8,22.51,8.11,27.03,-61.62
董明朗,跑馬地,Turf,1650,2,37,7,-18.3,38.89,5.41,18.92,-49.46
霍宏聲,沙田,Turf,1000,2,37,5,-30.0,31.43,5.41,13.51,-81.08
鍾易禮,沙田,Turf,1000,1,37,3,-27.0,58.85,2.7,8.11,-72.97
班德禮,沙田,Turf,1000,0,37,2,-37.0,33.98,0.0,5.41,-100.0
霍宏聲,沙田,AWT,1650,6,36,13,12.0,23.36,16.67,36.11,33.33
紀仁安,沙田,Turf,1400,4,36,12,-15.9,22.67,11.11,33.33,-44.17
班德禮,沙田,AWT,1200,2,36,8,-9.0,27.06,5.56,22.22,-25.0
潘頓,跑馬地,Turf,1800,6,35,17,-11.5,5.68,17.14,48.57,-32.86
艾兆禮,跑馬地,Turf,1800,3,35,9,-16.6,17.71,8.57,25.71,-47.43
鍾易禮,沙田,AWT,1650,2,35,7,66.0,33.21,5.71,20.0,188.57
潘頓,沙田,Turf,1800,6,34,12,1.3000000000000007,5.45,17.65,35.29,3.82
艾兆禮,沙田,Turf,1800,6,34,11,16.5,21.53,17.65,32.35,48.53
周俊樂,沙田,Turf,1000,3,34,9,54.3,41.11,8.82,26.47,159.71
布文,沙田,Turf,1800,3,34,10,-19.1,14.05,8.82,29.41,-56.18
