date,meeting_name,race_number,race_key,horse_number,horse_name,finish_pos,is_win,is_top3,baseline_rank,probability_baseline,candidate_rank,probability_candidate,rank_delta,entered_top2,left_top2,dimension,period,method
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,7,電子騰飛,4,0,0,4.0,0.10123967165760576,4.0,0.1035989169807702,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,8,潮流勇駒,7,0,0,7.0,0.05788177178216945,6.0,0.06185091286578658,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,9,星辰千帥,5,0,0,1.0,0.22050922088640723,1.0,0.21180438938018473,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,10,明天更好,11,0,0,8.0,0.04786990458420077,8.0,0.04690879856016364,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,11,摘星聲升,12,0,0,9.0,0.04124233543805144,9.0,0.03867061694114171,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,5,2026-05-09::2026-05-09_ShaTin::R5,12,最好玩,8,0,0,6.0,0.06444946412104216,7.0,0.060542940027152506,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,1,財富非凡,12,0,0,12.0,0.023196799518646963,12.0,0.02183545633506678,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,2,同樣世界,5,0,0,9.0,0.04268778947055661,9.0,0.040883845477879543,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,3,將傲,3,0,1,10.0,0.04234728964695532,10.0,0.04023631489663275,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,4,笑必勝,13,0,0,11.0,0.036572572991622726,11.0,0.03688110240715643,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,5,久久為軍,4,0,0,6.0,0.09063434756915785,7.0,0.0851870907284597,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,6,龍傲綾羅,1,1,1,3.0,0.11167859000652021,1.0,0.12457930729735549,-2.0,True,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,7,文明福星,2,0,1,1.0,0.13255735600159071,2.0,0.1207789243758544,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,8,源好運,9,0,0,5.0,0.10610442821529222,4.0,0.10838516376643648,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,9,開心旺財,8,0,0,2.0,0.11677058639494156,3.0,0.1192865687504631,1.0,False,True,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,10,萬里鵬躍,10,0,0,13.0,0.022652493765739582,13.0,0.020617873723368926,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,11,有情有義,6,0,0,7.0,0.08923960452746844,6.0,0.09988952587670122,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,12,皮具伯樂,14,0,0,14.0,0.008331612396236837,14.0,0.007575094944282426,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,13,全神貫注,7,0,0,4.0,0.10889827530804701,5.0,0.1073212228217584,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,6,2026-05-09::2026-05-09_ShaTin::R6,14,紅衣財神,11,0,0,8.0,0.06832825418722396,8.0,0.06654250859858439,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,1,威武年代,14,0,0,1.0,0.13802531022451767,1.0,0.14328402709370483,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,2,嘉應巨昇,6,0,0,4.0,0.08628009419879318,5.0,0.08449066043210449,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,3,巴閉仔,10,0,0,14.0,0.019642740080914288,14.0,0.01757098553227594,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,4,都靈冠星,4,0,0,9.0,0.06049089778484663,8.0,0.06616524263929524,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,5,大千雄心,9,0,0,2.0,0.12153191659348002,2.0,0.13270493324629057,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,6,爆出美麗,8,0,0,11.0,0.0447353645879053,11.0,0.04334598356353073,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,7,綫路福將,13,0,0,3.0,0.11994800224186433,3.0,0.11254491918323321,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,8,好運年,2,0,1,8.0,0.06633646044140835,9.0,0.06006276900535803,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,9,捷威,5,0,0,5.0,0.08248721848657986,4.0,0.08632636619138484,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,10,明亮天下,12,0,0,13.0,0.022690501077548796,13.0,0.022999901172260993,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,11,君達得,3,0,1,12.0,0.03144607409552841,12.0,0.029170955398434693,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,12,紅磚戰士,7,0,0,7.0,0.07711776919601776,7.0,0.07416392978027135,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,13,金鑽精靈,1,1,1,10.0,0.050657583020354086,10.0,0.04778958342326482,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,7,2026-05-09::2026-05-09_ShaTin::R7,14,堅闖,11,0,0,6.0,0.07861006797024134,6.0,0.0793797433385903,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,1,八駿巨昇,11,0,0,7.0,0.0627247689899912,7.0,0.05959699355017313,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
