jockey,trainer,Wins,Starts,Places,Win_ROI_Pct,WinRate,PlaceRate
麥文堅,伍鵬志,0,2,1,-100.0,0.0,50.0
麥文堅,岳本賢,0,2,0,-100.0,0.0,0.0
麥文堅,蘇偉賢,0,2,0,-100.0,0.0,0.0
麥道朗,桂福特,0,2,0,-100.0,0.0,0.0
麥道朗,羅富全,0,2,0,-100.0,0.0,0.0
麥道朗,鄭俊偉,0,2,1,-100.0,0.0,50.0
黃寶妮,巫偉傑,0,2,0,-100.0,0.0,0.0
黃寶妮,桂福特,0,2,0,-100.0,0.0,0.0
黃寶妮,韋達,0,2,2,-100.0,0.0,100.0
黃智弘,丁冠豪,0,2,1,-100.0,0.0,50.0
黃智弘,桂福特,0,2,0,-100.0,0.0,0.0
黃智弘,蘇偉賢,0,2,0,-100.0,0.0,0.0
三浦皇成,鹿戶雄一,0,1,0,-100.0,0.0,0.0
何澤堯,告東尼,0,1,0,-100.0,0.0,0.0
何澤堯,大衛希斯,0,1,0,-100.0,0.0,0.0
何澤堯,桂福特,0,1,0,-100.0,0.0,0.0
何澤堯,韋達,0,1,0,-100.0,0.0,0.0
何澤堯,黎昭昇,0,1,0,-100.0,0.0,0.0
周俊樂,徐雨石,0,1,0,-100.0,0.0,0.0
奧爾民,巫偉傑,0,1,0,-100.0,0.0,0.0
川田將雅,高野友和,0,1,0,-100.0,0.0,0.0
巫顯東,大衛希斯,0,1,0,-100.0,0.0,0.0
巫顯東,巫偉傑,0,1,0,-100.0,0.0,0.0
巫顯東,文家良,0,1,0,-100.0,0.0,0.0
