dataset,split,meeting,date,venue,race_number,actual_top3,winner,stored_top2,current_top2,shadow_top2,stored_hits,current_hits,shadow_hits,stored_winner_top2,current_winner_top1,current_winner_top2,shadow_winner_top1,shadow_winner_top2,top2_changed,entered_top2,exited_top2,hit_delta,winner_delta,zero_to_positive,one_to_two,one_to_zero,two_to_one_or_zero,current_rank3,current_rank3_is_top3,current_rank3_promoted,effective_rank3_rescue,harmful_rank3_promotion,effective_replacement,harmful_replacement,field_size
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,4,2/3/11,2,3/7,3/7,3/7,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,5,3/4/12,3,2/10,2/10,2/3,0,0,1,0,0,0,0,1,1,3,10,1,1,1,0,0,0,3,1,1,1,0,1,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,6,3/4/12,3,3/1,3/1,3/1,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,7,1/6/7,6,2/10,2/6,2/6,0,1,1,0,0,1,0,1,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,10
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,8,1/5/10,10,7/6,7/11,7/11,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,13
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,9,3/5/11,5,5/7,5/3,5/3,1,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,11
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,10,4/7/13,7,1/7,1/7,1/7,1,1,1,1,0,1,0,1,0,,,0,0,0,0,0,0,13,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,11,1/9/14,14,11/10,3/11,3/11,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,1,3/4/10,10,2/1,2/5,2/5,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,2,1/2/12,12,12/3,12/3,12/3,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,3,2/5/8,2,10/6,6/10,6/10,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,4,4/7/14,7,4/14,4/7,4/7,2,2,2,0,0,1,0,1,0,,,0,0,0,0,0,0,14,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,5,4/10/12,10,2/5,2/4,2/4,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,5,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,6,1/4/8,8,3/10,3/13,3/13,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,7,1/3/6,6,6/3,6/1,6/1,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,7,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,8,3/4/7,4,8/2,8/7,8/7,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,5,0,0,0,0,0,0,11
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,9,1/12/14,1,8/1,1/8,1/8,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,6,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,10,6/7/11,6,1/6,1/6,1/14,1,1,0,1,0,1,0,0,1,14,6,-1,-1,0,0,1,0,14,0,1,0,1,0,1,14
independent_recent,independent_recent,2026-06-27_ShaTin,2026-06-27,ShaTin,11,2/5/6,5,7/6,6/7,7/6,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,1,3/7/10,3,11/6,11/6,11/6,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,10,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,2,2/4/13,2,4/1,4/2,4/2,1,2,2,0,0,1,0,1,0,,,0,0,0,0,0,0,13,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,3,2/11/14,2,14/1,14/13,14/13,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,2,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,4,2/3/7,2,13/2,13/2,13/2,1,1,1,1,0,1,0,1,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,14
