dataset,meeting,race_number,promotion_outcome,rank1_hit,rank2_hit,rank3_hit,rank2_winner,rank3_winner,score_gap_rank2_rank3,signal_deltas,supporting_evidence,rank1,rank2,rank3,actual_top3
archive,2026-05-17_ShaTin,3,有幫助：1→2,True,False,True,False,False,1.56,"{""speed"":-11.04,""formline"":-7.7,""class_context"":0.0,""distance_context"":0.0,""risk"":4.0,""confidence"":0.0}",[],#5 後無來者,#4 首駿,#11 東方寶寶,"[""1. #3 快樂高球"",""2. #11 東方寶寶"",""3. #5 後無來者""]"
archive,2026-05-17_ShaTin,4,有幫助：1→2,True,False,True,False,False,1.92,"{""speed"":-9.34,""formline"":7.7,""class_context"":-9.55,""distance_context"":0.0,""risk"":4.5,""confidence"":0.0}","[""form line支持第三選（+7.7）""]",#10 天天更好,#1 禾道豐,#8 你知我寶,"[""1. #11 小魔怪"",""2. #10 天天更好"",""3. #8 你知我寶""]"
archive,2026-05-17_ShaTin,5,無hit變化：第二及第三選皆中,False,True,True,False,True,0.02,"{""speed"":-5.44,""formline"":0.0,""class_context"":-13.55,""distance_context"":0.0,""risk"":-0.5,""confidence"":0.0}","[""第二／第三選分差極近（0.02）""]",#6 舞林盛宴,#3 利高八斗,#7 巴閉精,"[""1. #7 巴閉精"",""2. #3 利高八斗"",""3. #2 鼓浪好友""]"
archive,2026-05-17_ShaTin,8,無hit變化：第二及第三選皆失,True,False,False,False,False,1.6,"{""speed"":-6.85,""formline"":-12.5,""class_context"":9.12,""distance_context"":16.0,""risk"":0.0,""confidence"":0.0}","[""路程context支持第三選（+16.0）"",""班次context支持第三選（+9.1）""]",#5 超開心,#9 八心之星,#4 赤風驪,"[""1. #14 夢照發"",""2. #7 佰勝金龍"",""3. #5 超開心""]"
archive,2026-05-17_ShaTin,9,有傷害：1→0,False,True,False,False,False,0.47,"{""speed"":5.1,""formline"":-8.4,""class_context"":5.12,""distance_context"":0.0,""risk"":-1.0,""confidence"":0.0}","[""班次context支持第三選（+5.1）"",""段速支持第三選（+5.1）""]",#12 星光快驅,#7 洪才,#11 部族高手,"[""1. #5 百勝威龍"",""2. #13 飛躍成就"",""3. #7 洪才""]"
archive,2026-05-17_ShaTin,11,無hit變化：第二及第三選皆中,False,True,True,True,False,0.42,"{""speed"":8.28,""formline"":3.4,""class_context"":13.94,""distance_context"":6.0,""risk"":7.0,""confidence"":0.0}","[""班次context支持第三選（+13.9）"",""段速支持第三選（+8.3）""]",#1 大眾福星,#3 神馳,#2 友瑩亮,"[""1. #3 神馳"",""2. #7 亨驥"",""3. #2 友瑩亮""]"
archive,2026-05-20_HappyValley,3,無hit變化：第二及第三選皆失,True,False,False,False,False,0.69,"{""speed"":-9.65,""formline"":-11.2,""class_context"":5.12,""distance_context"":12.0,""risk"":-3.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""班次context支持第三選（+5.1）""]",#4 佐治傳奇,#6 烈焰光芒,#9 有盈勇士,"[""1. #2 星火燎原"",""2. #8 星辰千帥"",""3. #4 佐治傳奇""]"
archive,2026-05-20_HappyValley,4,無hit變化：第二及第三選皆失,True,False,False,False,False,3.09,"{""speed"":-19.46,""formline"":0.7,""class_context"":4.39,""distance_context"":0.0,""risk"":-4.0,""confidence"":0.0}",[],#8 有情有義,#6 康昌之星,#12 多利神駒,"[""1. #8 有情有義"",""2. #10 北海盜"",""3. #3 財富非凡""]"
archive,2026-05-20_HappyValley,5,無hit變化：第二及第三選皆失,True,False,False,False,False,3.16,"{""speed"":-0.6,""formline"":8.3,""class_context"":7.51,""distance_context"":-16.0,""risk"":-1.0,""confidence"":0.0}","[""form line支持第三選（+8.3）"",""班次context支持第三選（+7.5）""]",#7 鴻圖新星,#4 美麗登場,#10 比特星,"[""1. #2 財將"",""2. #7 鴻圖新星"",""3. #5 紅錢到""]"
archive,2026-05-20_HappyValley,6,有幫助：1→2,True,False,True,False,False,0.31,"{""speed"":4.28,""formline"":12.5,""class_context"":4.39,""distance_context"":-12.0,""risk"":1.0,""confidence"":0.0}","[""form line支持第三選（+12.5）""]",#5 星運少爵,#8 雷神太保,#3 巴閉王,"[""1. #5 星運少爵"",""2. #3 巴閉王"",""3. #1 當家精彩""]"
archive,2026-05-20_HappyValley,8,有幫助：1→2,True,False,True,False,False,0.39,"{""speed"":-6.18,""formline"":11.2,""class_context"":0.0,""distance_context"":0.0,""risk"":-2.0,""confidence"":0.0}","[""form line支持第三選（+11.2）""]",#3 踏雪尋梅,#9 富心星,#7 勇霸龍,"[""1. #6 東來欣賞"",""2. #3 踏雪尋梅"",""3. #7 勇霸龍""]"
archive,2026-05-24_ShaTin,1,無hit變化：第二及第三選皆失,True,False,False,False,False,1.65,"{""speed"":1.58,""formline"":11.2,""class_context"":-9.94,""distance_context"":-12.0,""risk"":-10.5,""confidence"":0.0}","[""form line支持第三選（+11.2）""]",#1 威力非凡,#13 極速之子,#2 競駿天下,"[""1. #1 威力非凡"",""2. #14 勁爽"",""3. #6 神駒馬靈""]"
archive,2026-05-24_ShaTin,2,有傷害：1→0,False,True,False,True,False,0.8,"{""speed"":-1.98,""formline"":5.6,""class_context"":1.16,""distance_context"":12.0,""risk"":-7.5,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""form line支持第三選（+5.6）""]",#11 華麗再贏,#14 金快飛飛,#10 隋我同來,"[""1. #14 金快飛飛"",""2. #1 包裝明將"",""3. #2 嵐臣""]"
archive,2026-05-24_ShaTin,5,無hit變化：第二及第三選皆失,True,False,False,False,False,2.53,"{""speed"":-15.24,""formline"":-2.1,""class_context"":-19.12,""distance_context"":-16.0,""risk"":5.5,""confidence"":0.0}",[],#2 大回報,#7 旌採,#9 同樣世界,"[""1. #2 大回報"",""2. #13 幸運威龍"",""3. #4 逍遙騎士""]"
archive,2026-05-24_ShaTin,8,無hit變化：第二及第三選皆失,True,False,False,False,False,2.0,"{""speed"":10.63,""formline"":-6.9,""class_context"":0.0,""distance_context"":-12.0,""risk"":-0.5,""confidence"":0.0}","[""段速支持第三選（+10.6）""]",#1 浪漫勇士,#9 浪漫戰神,#8 君子傳承,"[""1. #1 浪漫勇士"",""2. #5 數字天文"",""3. #2 大怪奇""]"
independent_recent,2026-05-27_HappyValley,2,有傷害：1→0,False,True,False,True,False,1.54,"{""speed"":-1.1,""formline"":0.7,""class_context"":-4.0,""distance_context"":-6.0,""risk"":2.0,""confidence"":0.0}",[],#1 管之友,#7 捷足奔馳,#5 十力,"[""1. #7 捷足奔馳"",""2. #8 幸運同行"",""3. #9 美麗多盈""]"
independent_recent,2026-05-27_HappyValley,3,無hit變化：第二及第三選皆失,True,False,False,False,False,1.72,"{""speed"":5.6,""formline"":1.5,""class_context"":-1.16,""distance_context"":-12.0,""risk"":1.0,""confidence"":0.0}","[""段速支持第三選（+5.6）""]",#1 魅力知耀,#8 浪漫老撾,#6 紅衣醒目,"[""1. #3 大千雄心"",""2. #1 魅力知耀"",""3. #2 高高至高""]"
independent_recent,2026-05-27_HappyValley,4,有傷害：1→0,False,True,False,True,False,0.62,"{""speed"":-8.67,""formline"":2.1,""class_context"":0.0,""distance_context"":0.0,""risk"":-4.5,""confidence"":0.0}",[],#1 紅愛舍,#5 朗日自強,#2 贏得自然,"[""1. #5 朗日自強"",""2. #11 天下寵兒"",""3. #9 頑童""]"
independent_recent,2026-05-27_HappyValley,5,無hit變化：第二及第三選皆失,True,False,False,False,False,0.77,"{""speed"":-10.49,""formline"":-13.2,""class_context"":0.0,""distance_context"":0.0,""risk"":7.0,""confidence"":0.0}",[],#2 穿甲金鷹,#9 榮利雙收,#8 凡凡有餘,"[""1. #2 穿甲金鷹"",""2. #6 智勇名駒"",""3. #5 納百川""]"
independent_recent,2026-06-03_HappyValley,1,無hit變化：第二及第三選皆失,True,False,False,False,False,3.68,"{""speed"":-0.71,""formline"":11.2,""class_context"":-9.55,""distance_context"":-18.0,""risk"":2.5,""confidence"":0.0}","[""form line支持第三選（+11.2）""]",#3 富裕君子,#9 華美之威,#1 幽默大師,"[""1. #3 富裕君子"",""2. #12 不假外求"",""3. #6 電訊驕陽""]"
independent_recent,2026-06-03_HappyValley,2,有傷害：1→0,False,True,False,False,False,1.09,"{""speed"":2.62,""formline"":-13.3,""class_context"":0.0,""distance_context"":0.0,""risk"":4.5,""confidence"":0.0}",[],#2 喆喆友福,#3 金風萬里,#9 輕鬆大少,"[""1. #4 首駿"",""2. #3 金風萬里"",""3. #12 快馬加鞭""]"
independent_recent,2026-06-03_HappyValley,4,有傷害：1→0,False,True,False,True,False,1.06,"{""speed"":-13.68,""formline"":16.7,""class_context"":-13.94,""distance_context"":6.0,""risk"":-1.5,""confidence"":0.0}","[""form line支持第三選（+16.7）"",""路程context支持第三選（+6.0）""]",#10 時間寶,#5 先到先得,#8 戰寶,"[""1. #5 先到先得"",""2. #1 星願無限"",""3. #9 獎星""]"
independent_recent,2026-06-03_HappyValley,6,有幫助：1→2,True,False,True,False,False,1.9,"{""speed"":-18.47,""formline"":9.0,""class_context"":0.0,""distance_context"":0.0,""risk"":-5.5,""confidence"":0.0}","[""form line支持第三選（+9.0）""]",#1 星運少爵,#7 獵寶勤,#5 銳目,"[""1. #1 星運少爵"",""2. #4 喵喵怪"",""3. #5 銳目""]"
independent_recent,2026-06-03_HappyValley,7,有幫助：1→2,True,False,True,False,False,0.17,"{""speed"":5.1,""formline"":-2.1,""class_context"":-4.39,""distance_context"":0.0,""risk"":7.5,""confidence"":0.0}","[""段速支持第三選（+5.1）""]",#7 皇者有利,#5 福星小子,#10 長勝隊長,"[""1. #11 電源之駒"",""2. #7 皇者有利"",""3. #10 長勝隊長""]"
