meeting,race_number,baseline_hits,pair_type,boundary_label,rank2_number,rank2_name,rank2_is_top3,rank3_number,rank3_name,rank3_is_top3,distance_num,race_class_num,gap_official_pure_total,gap_official_sectional,weighted_gap_official_sectional,gap_official_trainer_signal,weighted_gap_official_trainer_signal,gap_official_stability,weighted_gap_official_stability,gap_official_race_shape,weighted_gap_official_race_shape,gap_official_class_advantage,weighted_gap_official_class_advantage,gap_official_horse_health,weighted_gap_official_horse_health,gap_official_form_line,weighted_gap_official_form_line,gap_rebuilt_speed_engine,reliability_rank2_speed_engine,reliability_rank3_speed_engine,gap_rebuilt_stability,reliability_rank2_stability,reliability_rank3_stability,gap_rebuilt_distance_context,reliability_rank2_distance_context,reliability_rank3_distance_context,gap_rebuilt_class_weight,reliability_rank2_class_weight,reliability_rank3_class_weight,gap_rebuilt_trainer_signal,reliability_rank2_trainer_signal,reliability_rank3_trainer_signal,gap_rebuilt_readiness_risk,reliability_rank2_readiness_risk,reliability_rank3_readiness_risk,gap_rebuilt_form_line,reliability_rank2_form_line,reliability_rank3_form_line
2026-04-22_HappyValley,3,1,both_placed,neutral,1,本領非凡,1,5,贏玥,1,1650,4,-1.5411,0.0,0.0,-5.325,-1.1763,-15.4299,-1.418,8.36,2.1402,-7.955,-1.062,3.5,0.1323,-2.1,-0.1573,7.4903,0.65,0.65,-7.6819,1.0,0.5,-2.0,0.2,0.0,-3.6364,1.0,1.0,0.2906,0.5702,0.7143,0.0,0.5,0.5,-3.3,0.4,0.25
2026-04-22_HappyValley,4,1,both_missed,neutral,10,眼健康,0,4,良駒好友,0,1200,4,-1.6143,0.0,0.0,-10.46,-2.3106,16.4673,1.5133,-5.22,-1.3363,5.6625,0.7559,-2.1,-0.0794,-2.1,-0.1573,-3.1735,0.65,0.65,5.4091,1.0,1.0,2.0,0.0,0.2,4.5454,1.0,1.0,-2.3871,0.8113,0.5959,0.0,0.5,0.5,-2.6,0.5,0.4
2026-04-22_HappyValley,5,1,rank3_rescue,rank3_better,4,紅錢到,0,1,伶俐驫駒,1,1200,4,-0.1126,0.0,0.0,-0.565,-0.1248,15.6843,1.4414,-6.22,-1.5923,-2.5,-0.3337,-3.5,-0.1323,8.4,0.6292,3.5059,0.65,0.65,4.5,1.0,1.0,0.0,0.2,0.2,3.1818,1.0,1.0,-2.2058,0.7044,0.8485,0.0,0.5,0.5,2.0,0.5,0.5
2026-04-22_HappyValley,6,1,rank2_protect,rank2_better,6,鴻圖新星,1,8,福進,0,1000,4,-1.6758,0.0,0.0,-2.47,-0.5456,-9.5687,-0.8794,1.81,0.4634,-3.0,-0.4005,-2.75,-0.104,-2.8,-0.2097,0.0,0.65,0.65,-5.8182,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,-0.1221,0.6121,0.3865,-2.5,0.5,0.5,-3.7714,0.5714,0.4
2026-04-22_HappyValley,7,2,rank2_protect,rank2_better,1,馬力,1,7,藍地球,0,1000,4,-2.5558,0.0,0.0,-11.045,-2.4398,-14.4354,-1.3266,2.99,0.7654,2.5,0.3337,2.95,0.1115,0.0,0.0,0.78,0.65,0.65,-2.0,1.0,1.0,2.0,0.0,0.2,-5.9091,1.0,1.0,-8.18,0.5895,0.688,-0.5,0.5,0.5,-1.7143,0.6667,0.5714
2026-04-22_HappyValley,8,2,rank2_protect,rank2_better,1,奔放,1,3,中國心,0,1800,4,-2.9647,0.0,0.0,-9.66,-2.1339,14.9572,1.3746,-8.0,-2.048,0.0,0.0,0.0,0.0,-2.1,-0.1573,-0.7091,0.65,0.65,4.0909,1.0,1.0,3.3333,0.0,0.3333,-2.2727,1.0,1.0,-6.4987,0.5164,0.5851,0.0,0.5,0.5,-4.5,0.25,0.0
2026-04-22_HappyValley,9,1,both_missed,neutral,3,好好戀愛,0,12,包裝明將,0,1200,4,-0.9923,0.0,0.0,-19.8,-4.3738,13.0143,1.196,3.33,0.8525,8.1625,1.0897,5.05,0.1909,0.7,0.0524,-1.6667,0.65,0.65,3.8727,1.0,1.0,0.0,0.0,0.0,-7.5,1.0,1.0,3.1713,0.5222,0.4733,-0.5,0.5,0.5,-0.2,0.4,0.5
2026-04-26_ShaTin,1,1,rank2_protect,rank2_better,9,利高八斗,1,11,賢者威楓,0,1200,0,-0.7397,0.0,0.0,1.375,0.3037,-1.6707,-0.1535,-5.97,-1.5283,3.2925,0.4395,1.1,0.0416,2.1,0.1573,-2.6319,0.65,0.65,4.2606,0.25,1.0,0.0,0.0,0.0,-0.0721,0.9375,1.0,3.0412,0.7136,0.7737,1.0,0.5,0.5,4.5,0.0,0.25
2026-04-26_ShaTin,2,2,both_placed,neutral,6,大回報,1,7,旌採,1,1600,0,-2.4716,0.0,0.0,7.875,1.7396,-14.1793,-1.3031,-10.0,-2.56,-3.0,-0.4005,0.0,0.0,0.7,0.0524,-2.9019,0.65,0.65,-4.4231,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,12.7283,0.5554,0.6657,0.0,0.5,0.5,1.5,0.625,0.625
2026-04-26_ShaTin,3,0,rank3_rescue,rank3_better,9,幸福約定,0,2,堅先生,1,1200,0,0.6491,0.0,0.0,-4.49,-0.9918,0.0,0.0,2.64,0.6758,0.5,0.0668,-1.2,-0.0454,12.6,0.9437,3.6302,0.0,0.65,3.4808,0.0,0.5,0.6667,0.0,0.2,6.2019,0.75,1.0,-13.9163,0.5455,0.8438,1.0,0.5,0.5,0.0,0.0,0.0
2026-04-26_ShaTin,4,1,both_missed,neutral,9,日日賞,0,11,幸運威龍,0,1400,0,-1.5183,0.0,0.0,-8.25,-1.8224,-3.3333,-0.3063,0.0,0.0,-1.1625,-0.1552,-0.55,-0.0208,10.5,0.7864,-2.9666,0.65,0.65,-0.5209,0.5,0.5,0.0,0.0,0.0,-1.1538,1.0,1.0,-6.7582,0.4614,0.7982,-0.5,0.5,0.5,2.3571,0.25,0.5714
2026-04-26_ShaTin,5,1,both_missed,neutral,3,驕陽明駒,0,4,舉步生風,0,1200,0,-1.6543,0.0,0.0,-11.095,-2.4509,-3.7585,-0.3454,5.28,1.3517,0.0,0.0,0.0,0.0,-2.8,-0.2097,-1.95,0.65,0.65,-2.4166,1.0,1.0,-2.0,0.2,0.2,0.0,1.0,1.0,-3.1192,0.8295,0.4699,0.0,0.5,0.5,-2.5,0.5,0.25
2026-04-26_ShaTin,6,1,rank2_protect,rank2_better,13,傑出雷霆,1,3,星月飛雲,0,1200,0,-0.0378,0.0,0.0,2.24,0.4948,-5.4129,-0.4974,0.75,0.192,-1.5,-0.2003,-2.1,-0.0794,0.7,0.0524,-2.4519,0.65,0.65,-0.5385,1.0,1.0,1.4286,0.0,0.2,7.6923,1.0,1.0,2.9182,0.7565,0.5161,0.0,0.5,0.5,1.35,0.625,0.7
