Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
布文,韋達,0,3,0,26.33,0.0,0.0,1.45,15.94,12.0,36.0,-6.72,-25.97
周俊樂,丁冠豪,0,3,0,45.67,0.0,0.0,10.26,23.08,5.56,9.72,-7.91,-16.4
奧爾民,姚本輝,0,3,1,69.67,0.0,33.33,8.0,34.67,8.33,16.67,-8.16,7.66
田泰安,丁冠豪,0,3,1,43.57,0.0,33.33,10.26,23.08,6.38,23.4,-8.32,10.09
布文,黎昭昇,0,3,1,19.67,0.0,33.33,4.76,20.63,12.0,36.0,-8.38,5.02
布文,大衛希斯,0,3,0,20.57,0.0,0.0,6.17,25.93,12.0,36.0,-9.09,-30.96
布文,羅富全,0,3,2,5.97,0.0,66.67,6.76,22.97,12.0,36.0,-9.38,37.18
巴度,蘇偉賢,0,3,0,34.33,0.0,0.0,13.64,22.73,5.26,19.3,-9.45,-21.02
霍宏聲,大衛希斯,0,3,0,34.0,0.0,0.0,6.17,25.93,14.08,23.94,-10.12,-24.94
霍宏聲,賀賢,0,3,1,34.47,0.0,33.33,6.85,21.92,14.08,23.94,-10.46,10.4
霍宏聲,姚本輝,0,3,0,27.73,0.0,0.0,8.0,34.67,14.08,23.94,-11.04,-29.3
潘頓,告東尼,0,3,0,11.8,0.0,0.0,4.17,13.89,24.24,51.52,-14.2,-32.7
潘頓,文家良,0,3,1,7.13,0.0,33.33,8.62,17.24,24.24,51.52,-16.43,-1.05
艾道拿,大衛希斯,1,2,1,16.9,50.0,50.0,6.17,25.93,5.19,23.38,44.32,25.34
黃智弘,伍鵬志,1,2,1,25.0,50.0,50.0,9.33,22.67,6.9,13.79,41.88,31.77
布文,姚本輝,1,2,2,6.05,50.0,100.0,8.0,34.67,12.0,36.0,40.0,64.66
麥道朗,沈集成,1,2,1,3.55,50.0,50.0,7.69,16.67,20.0,40.0,36.16,21.66
潘頓,游達榮,1,2,1,4.65,50.0,50.0,6.0,16.0,24.24,51.52,34.88,16.24
羅敦,岳伯仁,0,2,0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鍾易禮,容天鵬,0,2,0,81.0,0.0,0.0,2.13,6.38,1.56,7.81,-1.84,-7.1
黃寶妮,葉楚航,0,2,0,11.75,0.0,0.0,5.36,14.29,0.0,4.35,-2.68,-9.32
黃寶妮,姚本輝,0,2,0,16.6,0.0,0.0,8.0,34.67,0.0,4.35,-4.0,-19.51
賀銘年,文家良,0,2,0,131.5,0.0,0.0,8.62,17.24,0.0,5.88,-4.31,-11.56
薛恩,伍鵬志,0,2,0,38.0,0.0,0.0,9.33,22.67,0.0,0.0,-4.66,-11.34
賀銘年,伍鵬志,0,2,0,29.2,0.0,0.0,9.33,22.67,0.0,5.88,-4.66,-14.28
艾兆禮,葉楚航,0,2,0,34.5,0.0,0.0,5.36,14.29,4.0,24.0,-4.68,-19.14
鍾易禮,姚本輝,0,2,0,11.05,0.0,0.0,8.0,34.67,1.56,7.81,-4.78,-21.24
希威森,黎昭昇,0,2,0,64.0,0.0,0.0,4.76,20.63,4.88,15.85,-4.82,-18.24
湯普新,方嘉柏,0,2,0,75.5,0.0,0.0,9.72,23.61,0.0,9.84,-4.86,-16.73
鍾易禮,呂健威,0,2,0,87.5,0.0,0.0,8.45,26.76,1.56,7.81,-5.0,-17.28
