Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡約翰,Class 4,跑馬地,Turf,1650,0,2,0,-2.0,15.8,0.0,0.0,-100.0
蔡約翰,Group 2,沙田,Turf,1200,0,2,1,-2.0,17.0,0.0,50.0,-100.0
蔡約翰,Group 2,沙田,Turf,1600,0,2,0,-2.0,10.45,0.0,0.0,-100.0
蘇偉賢,Class 4,跑馬地,Turf,1650,0,2,0,-2.0,29.5,0.0,0.0,-100.0
蘇偉賢,Class 5,沙田,Turf,1200,0,2,0,-2.0,34.75,0.0,0.0,-100.0
蘇偉賢,Class 5,沙田,Turf,1400,0,2,0,-2.0,9.0,0.0,0.0,-100.0
蘇偉賢,Class 5,跑馬地,Turf,1200,0,2,1,-2.0,9.5,0.0,50.0,-100.0
賀賢,Class 3,沙田,Turf,1400,0,2,0,-2.0,68.0,0.0,0.0,-100.0
賀賢,Class 4,跑馬地,Turf,1650,0,2,0,-2.0,91.5,0.0,0.0,-100.0
鄭俊偉,Class 3,跑馬地,Turf,1200,0,2,0,-2.0,46.5,0.0,0.0,-100.0
鄭俊偉,Class 4,沙田,Turf,1000,0,2,0,-2.0,129.5,0.0,0.0,-100.0
鄭俊偉,Griffin,沙田,Turf,1000,0,2,1,-2.0,38.1,0.0,50.0,-100.0
韋達,Class 3,沙田,Turf,1000,0,2,0,-2.0,17.5,0.0,0.0,-100.0
韋達,Class 5,沙田,Turf,1400,0,2,0,-2.0,36.0,0.0,0.0,-100.0
韋達,Class 5,跑馬地,Turf,1000,0,2,0,-2.0,13.75,0.0,0.0,-100.0
黎昭昇,Class 3,沙田,AWT,1200,0,2,0,-2.0,29.5,0.0,0.0,-100.0
黎昭昇,Class 3,沙田,Turf,1200,0,2,0,-2.0,43.0,0.0,0.0,-100.0
黎昭昇,Class 3,跑馬地,Turf,1000,0,2,0,-2.0,17.0,0.0,0.0,-100.0
黎昭昇,Class 5,沙田,Turf,1200,0,2,0,-2.0,62.0,0.0,0.0,-100.0
黎昭昇,Class 5,跑馬地,Turf,1200,0,2,0,-2.0,24.05,0.0,0.0,-100.0
