Jockey,Going,Wins,Starts,Places,WinRate
布文,第五班 - 1600米 - (40-0),0,7,3,0.0
布文,第五班 - 1650米 - (40-0),4,17,7,23.5
布文,第五班 - 1800米 - (40-0),1,9,4,11.1
布文,第五班 - 2000米 - (40-0),0,2,0,0.0
布文,第五班 - 2200米 - (40-0),0,2,0,0.0
布文,第四班 - 1000米 - (60-40),1,18,5,5.6
布文,第四班 - 1200米 - (60-40),16,120,44,13.3
布文,第四班 - 1400米 - (60-40),9,50,20,18.0
布文,第四班 - 1600米 - (60-40),3,13,6,23.1
布文,第四班 - 1650米 - (60-40),5,46,12,10.9
布文,第四班 - 1800米 - (60-35),0,1,1,0.0
布文,第四班 - 1800米 - (60-40),3,14,4,21.4
布文,第四班 - 2000米 - (60-40),1,4,1,25.0
布文,第四班 - 2200米 - (60-35),0,3,0,0.0
布文,第四班 - 2200米 - (60-40),0,2,0,0.0
布文,第四班（條件限制） - 1200米 - (60-40),0,2,0,0.0
布文,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
希威森,三級賽 - 1000米,0,1,0,0.0
希威森,三級賽 - 1400米,0,2,0,0.0
希威森,三級賽 - 1800米,0,2,0,0.0
希威森,二級賽 - 1200米,0,2,0,0.0
希威森,二級賽 - 1600米,0,1,1,0.0
希威森,四歲 - 1800米,0,1,0,0.0
希威森,四歲 - 2000米,0,1,0,0.0
希威森,新馬賽 - 1000米,0,1,0,0.0
希威森,新馬賽 - 1200米,0,1,0,0.0
希威森,第一班 - 1200米 - (80+),0,1,0,0.0
希威森,第三班 - 1000米 - (80-55),1,1,1,100.0
希威森,第三班 - 1000米 - (80-60),0,16,4,0.0
希威森,第三班 - 1000米 - (85-60),0,1,0,0.0
希威森,第三班 - 1200米 - (80-55),0,4,1,0.0
希威森,第三班 - 1200米 - (80-60),3,55,9,5.5
希威森,第三班 - 1200米 - (85-60),1,2,1,50.0
希威森,第三班 - 1400米 - (80-60),1,33,8,3.0
希威森,第三班 - 1600米 - (80-60),2,11,3,18.2
希威森,第三班 - 1650米 - (80-55),0,1,0,0.0
希威森,第三班 - 1650米 - (80-60),0,18,6,0.0
希威森,第三班 - 1650米 - (85-60),0,2,1,0.0
希威森,第三班 - 1800米 - (80-60),0,8,1,0.0
希威森,第三班 - 1800米 - (85-60),0,2,1,0.0
希威森,第三班 - 2000米 - (80-60),0,1,0,0.0
希威森,第三班 - 2000米 - (85-60),0,1,0,0.0
希威森,第三班 - 2200米 - (80-60),0,1,0,0.0
希威森,第三班 - 2200米 - (85-60),0,1,1,0.0
希威森,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
希威森,第二班 - 1000米 - (100-75),0,1,1,0.0
希威森,第二班 - 1000米 - (100-80),0,2,0,0.0
希威森,第二班 - 1000米 - (90-65),0,1,0,0.0
希威森,第二班 - 1200米 - (100-75),0,1,0,0.0
希威森,第二班 - 1200米 - (100-80),0,9,3,0.0
希威森,第二班 - 1200米 - (105-80),0,2,0,0.0
希威森,第二班 - 1400米 - (100-75),0,1,0,0.0
希威森,第二班 - 1400米 - (100-80),0,2,0,0.0
希威森,第二班 - 1400米 - (105-80),0,3,2,0.0
希威森,第二班 - 1400米 - (90-70),0,1,0,0.0
希威森,第二班 - 1600米 - (100-75),0,1,1,0.0
希威森,第二班 - 1600米 - (105-80),0,1,0,0.0
希威森,第二班 - 1650米 - (100-75),1,2,1,50.0
希威森,第二班 - 1650米 - (100-80),0,2,0,0.0
希威森,第二班 - 1650米 - (105-80),0,1,0,0.0
希威森,第二班 - 1800米 - (100-75),0,2,1,0.0
希威森,第二班 - 1800米 - (100-80),0,1,0,0.0
希威森,第二班 - 2000米 - (100-75),0,1,0,0.0
