Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
湯普新,容天鵬,0,24,3,-24.0,0.0,12.5,-100.0
湯普新,巫偉傑,0,2,0,-2.0,0.0,0.0,-100.0
湯普新,廖康銘,0,15,0,-15.0,0.0,0.0,-100.0
湯普新,徐雨石,0,5,0,-5.0,0.0,0.0,-100.0
湯普新,文家良,0,4,2,-4.0,0.0,50.0,-100.0
湯普新,羅富全,0,4,0,-4.0,0.0,0.0,-100.0
楊明綸,丁冠豪,0,8,1,-8.0,0.0,12.5,-100.0
楊明綸,伍鵬志,0,7,1,-7.0,0.0,14.3,-100.0
楊明綸,容天鵬,0,9,0,-9.0,0.0,0.0,-100.0
杜苑欣,沈集成,0,3,1,-3.0,0.0,33.3,-100.0
杜苑欣,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,韋達,0,2,0,-2.0,0.0,0.0,-100.0
艾兆禮,大衛希斯,0,29,6,-29.0,0.0,20.7,-100.0
艾兆禮,容天鵬,0,12,4,-12.0,0.0,33.3,-100.0
田泰安,方嘉柏,0,8,2,-8.0,0.0,25.0,-100.0
田泰安,沈集成,0,5,1,-5.0,0.0,20.0,-100.0
楊明綸,沈集成,0,9,0,-9.0,0.0,0.0,-100.0
楊明綸,游達榮,0,2,0,-2.0,0.0,0.0,-100.0
楊明綸,葉楚航,0,4,0,-4.0,0.0,0.0,-100.0
楊明綸,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
楊明綸,韋達,0,19,1,-19.0,0.0,5.3,-100.0
范以誠,雷拿及雷恩,0,1,0,-1.0,0.0,0.0,-100.0
莫艾誠,包義定,0,1,0,-1.0,0.0,0.0,-100.0
艾兆禮,賀賢,0,12,3,-12.0,0.0,25.0,-100.0
艾兆禮,鄭俊偉,0,8,1,-8.0,0.0,12.5,-100.0
艾兆禮,韋達,0,9,1,-9.0,0.0,11.1,-100.0
艾道拿,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
艾道拿,姚本輝,0,20,2,-20.0,0.0,10.0,-100.0
艾道拿,容天鵬,0,3,1,-3.0,0.0,33.3,-100.0
艾道拿,徐雨石,0,1,0,-1.0,0.0,0.0,-100.0
艾道拿,文家良,0,2,0,-2.0,0.0,0.0,-100.0
艾兆禮,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
艾兆禮,告東尼,0,5,3,-5.0,0.0,60.0,-100.0
梁家俊,葉楚航,0,5,1,-5.0,0.0,20.0,-100.0
梁家俊,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
梁家俊,韋達,0,1,0,-1.0,0.0,0.0,-100.0
梁家俊,黎昭昇,0,5,0,-5.0,0.0,0.0,-100.0
艾道拿,葉楚航,0,9,1,-9.0,0.0,11.1,-100.0
杜苑欣,黎昭昇,0,2,0,-2.0,0.0,0.0,-100.0
柯浩新,范鴻禧,0,1,0,-1.0,0.0,0.0,-100.0
梁家俊,伍鵬志,0,30,6,-30.0,0.0,20.0,-100.0
梁家俊,告東尼,0,3,1,-3.0,0.0,33.3,-100.0
梁家俊,廖康銘,0,2,1,-2.0,0.0,50.0,-100.0
希威森,葉楚航,0,5,1,-5.0,0.0,20.0,-100.0
希威森,賀賢,0,2,0,-2.0,0.0,0.0,-100.0
希威森,鄭俊偉,0,18,2,-18.0,0.0,11.1,-100.0
艾道拿,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
艾道拿,鄭俊偉,0,5,0,-5.0,0.0,0.0,-100.0
艾道拿,韋達,0,10,2,-10.0,0.0,20.0,-100.0
苗傑美,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
苗傑美,姚本輝,0,1,0,-1.0,0.0,0.0,-100.0
苗傑美,羅富全,0,2,1,-2.0,0.0,50.0,-100.0
范以誠,納斯,0,1,1,-1.0,0.0,100.0,-100.0
董明朗,丁冠豪,0,2,0,-2.0,0.0,0.0,-100.0
董明朗,伍鵬志,0,4,1,-4.0,0.0,25.0,-100.0
董明朗,姚本輝,0,9,2,-9.0,0.0,22.2,-100.0
董明朗,容天鵬,0,5,0,-5.0,0.0,0.0,-100.0
莫雅,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,姚本輝,0,2,1,-2.0,0.0,50.0,-100.0
莫雅,岳伯仁,0,2,0,-2.0,0.0,0.0,-100.0
