Trainer,Going,Wins,Starts,Places,WinRate
大衛希斯,第二班 - 1000米 - (105-75),0,1,0,0.0
大衛希斯,第二班 - 1000米 - (105-80),0,1,0,0.0
大衛希斯,第二班 - 1000米 - (90-65),0,1,0,0.0
大衛希斯,第二班 - 1200米 - (100-75),0,2,0,0.0
大衛希斯,第二班 - 1200米 - (100-80),5,28,9,17.9
大衛希斯,第二班 - 1200米 - (105-80),0,8,3,0.0
大衛希斯,第二班 - 1400米 - (100-80),1,4,1,25.0
大衛希斯,第二班 - 1400米 - (105-80),0,8,3,0.0
大衛希斯,第二班 - 1600米 - (100-75),0,1,1,0.0
大衛希斯,第二班 - 1600米 - (100-80),0,2,0,0.0
大衛希斯,第二班 - 1600米 - (105-75),0,1,0,0.0
大衛希斯,第二班 - 1600米 - (105-80),0,3,1,0.0
大衛希斯,第二班 - 1650米 - (100-75),0,4,1,0.0
大衛希斯,第二班 - 1650米 - (100-80),0,4,3,0.0
大衛希斯,第二班 - 1650米 - (105-80),0,3,2,0.0
大衛希斯,第二班 - 1800米 - (100-70),0,2,0,0.0
大衛希斯,第二班 - 1800米 - (100-75),1,1,1,100.0
大衛希斯,第二班 - 1800米 - (100-80),0,1,0,0.0
大衛希斯,第二班 - 1800米 - (90-60),0,1,0,0.0
大衛希斯,第二班 - 2000米 - (100-75),0,1,0,0.0
大衛希斯,第二班 - 2000米 - (95-70),0,1,0,0.0
大衛希斯,第五班 - 1000米 - (40-0),0,6,2,0.0
大衛希斯,第五班 - 1200米 - (40-0),2,30,5,6.7
大衛希斯,第五班 - 1400米 - (40-0),4,23,7,17.4
大衛希斯,第五班 - 1600米 - (40-0),2,9,3,22.2
大衛希斯,第五班 - 1650米 - (40-0),4,21,11,19.0
大衛希斯,第五班 - 1800米 - (40-0),1,15,4,6.7
大衛希斯,第五班 - 2000米 - (40-0),0,1,0,0.0
大衛希斯,第五班 - 2200米 - (40-0),1,2,1,50.0
大衛希斯,第四班 - 1000米 - (60-40),1,39,5,2.6
大衛希斯,第四班 - 1200米 - (60-40),15,218,47,6.9
大衛希斯,第四班 - 1400米 - (60-40),10,105,25,9.5
大衛希斯,第四班 - 1600米 - (60-40),1,31,10,3.2
大衛希斯,第四班 - 1650米 - (60-40),8,108,26,7.4
大衛希斯,第四班 - 1800米 - (60-35),1,3,3,33.3
大衛希斯,第四班 - 1800米 - (60-40),5,35,9,14.3
大衛希斯,第四班 - 2000米 - (60-40),0,10,2,0.0
大衛希斯,第四班 - 2200米 - (60-40),1,5,2,20.0
大衛希斯,第四班（條件限制） - 1200米 - (60-40),0,7,1,0.0
大衛希斯,第四班（條件限制） - 1400米 - (60-40),0,2,1,0.0
姚本輝,一級賽 - 1400米,0,1,0,0.0
姚本輝,一級賽 - 1600米,3,10,6,30.0
姚本輝,一級賽 - 2000米,1,6,1,16.7
姚本輝,一級賽 - 2400米,1,1,1,100.0
姚本輝,三級賽 - 1400米,0,2,1,0.0
姚本輝,三級賽 - 1600米,0,1,0,0.0
姚本輝,三級賽 - 1800米,0,7,0,0.0
姚本輝,二級賽 - 1600米,2,12,5,16.7
姚本輝,二級賽 - 2000米,0,3,2,0.0
姚本輝,新馬賽 - 1000米,0,1,1,0.0
姚本輝,第一班 - 1400米 - (85+),0,1,0,0.0
姚本輝,第一班 - 1650米 - (110-85),0,3,1,0.0
姚本輝,第三班 - 1000米 - (80-60),0,20,1,0.0
姚本輝,第三班 - 1000米 - (85-60),0,3,1,0.0
姚本輝,第三班 - 1200米 - (80-55),1,6,2,16.7
姚本輝,第三班 - 1200米 - (80-60),6,108,32,5.6
姚本輝,第三班 - 1200米 - (85-60),2,10,6,20.0
姚本輝,第三班 - 1400米 - (80-60),4,47,11,8.5
姚本輝,第三班 - 1400米 - (85-60),0,1,0,0.0
姚本輝,第三班 - 1600米 - (80-60),1,24,4,4.2
姚本輝,第三班 - 1600米 - (85-60),0,3,0,0.0
姚本輝,第三班 - 1650米 - (80-60),4,40,8,10.0
姚本輝,第三班 - 1650米 - (85-60),0,8,1,0.0
姚本輝,第三班 - 1800米 - (80-60),2,11,2,18.2
姚本輝,第三班 - 1800米 - (85-60),1,6,1,16.7
姚本輝,第三班 - 2000米 - (80-60),0,5,1,0.0
姚本輝,第三班 - 2000米 - (85-60),0,5,2,0.0
姚本輝,第三班 - 2200米 - (80-60),0,1,0,0.0
姚本輝,第三班（條件限制） - 1600米 - (85-60),1,3,1,33.3
姚本輝,第二班 - 1200米 - (100-80),0,2,1,0.0
姚本輝,第二班 - 1400米 - (100-75),0,1,0,0.0
姚本輝,第二班 - 1400米 - (100-80),0,3,1,0.0
姚本輝,第二班 - 1400米 - (105-80),2,5,3,40.0
姚本輝,第二班 - 1600米 - (100-75),1,1,1,100.0
姚本輝,第二班 - 1600米 - (100-80),0,5,1,0.0
姚本輝,第二班 - 1600米 - (105-80),1,6,3,16.7
姚本輝,第二班 - 1650米 - (100-75),0,3,1,0.0
姚本輝,第二班 - 1650米 - (100-80),1,7,1,14.3
姚本輝,第二班 - 1650米 - (105-80),1,4,2,25.0
姚本輝,第二班 - 1800米 - (100-70),0,1,0,0.0
姚本輝,第二班 - 1800米 - (100-75),0,5,0,0.0
姚本輝,第二班 - 1800米 - (100-80),0,2,1,0.0
姚本輝,第二班 - 2000米 - (100-75),0,2,0,0.0
姚本輝,第二班 - 2000米 - (95-70),0,2,1,0.0
姚本輝,第五班 - 1000米 - (40-0),0,7,1,0.0
姚本輝,第五班 - 1200米 - (40-0),2,35,9,5.7
姚本輝,第五班 - 1400米 - (40-0),3,23,10,13.0
姚本輝,第五班 - 1600米 - (40-0),0,13,2,0.0
姚本輝,第五班 - 1650米 - (40-0),1,18,5,5.6
姚本輝,第五班 - 1800米 - (40-0),1,12,1,8.3
姚本輝,第五班 - 2000米 - (40-0),0,1,0,0.0
姚本輝,第五班 - 2200米 - (40-0),0,1,0,0.0
姚本輝,第四班 - 1000米 - (60-40),2,21,4,9.5
姚本輝,第四班 - 1200米 - (60-40),22,169,58,13.0
姚本輝,第四班 - 1400米 - (60-40),5,67,24,7.5
姚本輝,第四班 - 1600米 - (60-40),1,28,8,3.6
姚本輝,第四班 - 1650米 - (60-40),7,62,21,11.3
姚本輝,第四班 - 1800米 - (60-35),0,1,0,0.0
姚本輝,第四班 - 1800米 - (60-40),1,20,6,5.0
