Jockey,Month,Wins,Starts,Places,WinRate
麥道朗,2026-04,1,7,2,14.3
黃寶妮,2024-09,2,18,3,11.1
黃寶妮,2024-10,1,22,2,4.5
黃寶妮,2024-11,2,14,2,14.3
黃寶妮,2024-12,1,25,3,4.0
黃寶妮,2025-01,2,18,4,11.1
黃寶妮,2025-02,1,18,1,5.6
黃寶妮,2025-03,3,30,7,10.0
黃寶妮,2025-04,0,19,3,0.0
黃寶妮,2025-05,4,17,5,23.5
黃寶妮,2025-06,2,20,4,10.0
黃寶妮,2025-07,0,9,1,0.0
黃寶妮,2025-09,2,17,4,11.8
黃寶妮,2025-10,3,22,6,13.6
黃寶妮,2025-11,1,28,6,3.6
黃寶妮,2026-03,0,10,0,0.0
黃寶妮,2026-04,3,41,9,7.3
黃寶妮,2026-05,1,14,4,7.1
黃智弘,2024-09,1,24,2,4.2
黃智弘,2024-10,2,23,8,8.7
黃智弘,2024-11,0,23,5,0.0
黃智弘,2024-12,0,15,5,0.0
黃智弘,2025-01,2,24,6,8.3
黃智弘,2025-02,0,29,6,0.0
黃智弘,2025-03,1,26,5,3.8
黃智弘,2025-04,4,25,5,16.0
黃智弘,2025-05,5,39,10,12.8
黃智弘,2025-06,8,35,17,22.9
黃智弘,2025-07,2,37,7,5.4
黃智弘,2025-09,3,22,5,13.6
黃智弘,2025-10,5,55,13,9.1
黃智弘,2025-11,2,31,5,6.5
黃智弘,2025-12,4,17,4,23.5
黃智弘,2026-01,1,32,6,3.1
黃智弘,2026-02,4,42,14,9.5
黃智弘,2026-03,0,21,4,0.0
黃智弘,2026-04,1,24,3,4.2
黃智弘,2026-05,0,9,1,0.0
黎應揚,2024-12,0,1,0,0.0
