Jockey,Distance,Wins,Starts,Places,WinRate
金誠剛,1400,0,89,10,0.0
金誠剛,1600,0,33,8,0.0
金誠剛,1650,5,63,13,7.9
金誠剛,1800,0,24,6,0.0
金誠剛,2000,0,7,3,0.0
金誠剛,2200,0,5,1,0.0
鍾易禮,1000,7,75,15,9.3
鍾易禮,1200,11,301,44,3.7
鍾易禮,1400,8,142,15,5.6
鍾易禮,1600,3,52,8,5.8
鍾易禮,1650,8,135,24,5.9
鍾易禮,1800,1,48,8,2.1
鍾易禮,2000,1,9,2,11.1
鍾易禮,2200,0,8,0,0.0
鍾易禮,2400,0,1,0,0.0
陳嘉熙,1000,0,2,1,0.0
陳嘉熙,1200,1,11,3,9.1
陳嘉熙,1400,0,2,0,0.0
陳嘉熙,1650,0,2,0,0.0
陳嘉熙,1800,0,1,0,0.0
霍宏聲,1000,7,81,24,8.6
霍宏聲,1200,36,353,81,10.2
霍宏聲,1400,14,141,32,9.9
霍宏聲,1600,3,60,13,5.0
霍宏聲,1650,14,130,39,10.8
霍宏聲,1800,4,54,11,7.4
霍宏聲,2000,0,13,2,0.0
霍宏聲,2200,0,5,0,0.0
霍宏聲,2400,0,1,0,0.0
韋紀力,1200,0,8,1,0.0
韋紀力,1400,3,13,6,23.1
韋紀力,1600,0,7,3,0.0
韋紀力,1650,0,1,0,0.0
韋紀力,1800,0,2,0,0.0
韋紀力,2000,1,5,1,20.0
韋紀力,2400,0,2,1,0.0
馬昆,1000,0,2,0,0.0
馬昆,1200,1,10,1,10.0
馬昆,1400,0,4,0,0.0
馬昆,1600,0,3,0,0.0
馬昆,1650,1,1,1,100.0
馬昆,1800,0,3,0,0.0
馬昆,2000,0,1,0,0.0
馬昆,2400,0,2,1,0.0
高力德,2000,0,1,0,0.0
麥文堅,1000,1,6,2,16.7
麥文堅,1200,3,56,11,5.4
麥文堅,1400,2,25,6,8.0
麥文堅,1600,2,14,2,14.3
麥文堅,1650,2,19,5,10.5
麥文堅,1800,0,12,2,0.0
麥文堅,2000,0,7,2,0.0
麥文堅,2200,0,2,1,0.0
麥文堅,2400,0,1,0,0.0
麥當能,1000,0,2,0,0.0
麥當能,1200,0,5,0,0.0
麥當能,1400,0,11,0,0.0
麥當能,1600,0,3,0,0.0
麥當能,1650,0,6,0,0.0
麥當能,1800,0,4,1,0.0
麥當能,2000,0,1,0,0.0
麥當能,2200,1,3,1,33.3
麥道朗,1000,2,18,6,11.1
麥道朗,1200,15,83,41,18.1
麥道朗,1400,5,39,16,12.8
麥道朗,1600,7,23,12,30.4
麥道朗,1650,2,27,5,7.4
麥道朗,1800,3,17,4,17.6
麥道朗,2000,7,14,10,50.0
麥道朗,2200,1,4,2,25.0
麥道朗,2400,1,3,1,33.3
