RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Group 3,跑馬地,Turf,1800,<=14d,0,3,0,15.0,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,1800,<=14d,0,3,1,24.0,0.0,33.33,ClassVenueDistance
Class 1,沙田,Turf,1400,15-28d,1,2,1,5.95,50.0,50.0,ClassVenueDistance
Class 2,沙田,Turf,1400,57-90d,1,2,2,9.75,50.0,100.0,ClassVenueDistance
Unknown,沙田,Turf,1600,29-56d,1,2,1,6.6,50.0,50.0,ClassVenueDistance
Class 1,沙田,Turf,1600,<=14d,0,2,0,12.6,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1600,57-90d,0,2,1,43.0,0.0,50.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,57-90d,0,2,0,11.35,0.0,0.0,ClassVenueDistance
Class 3,沙田,AWT,1200,57-90d,0,2,0,49.5,0.0,0.0,ClassVenueDistance
Class 3,沙田,Turf,1600,91d+,0,2,0,20.0,0.0,0.0,ClassVenueDistance
Class 3,跑馬地,Turf,1000,91d+,0,2,1,7.3,0.0,50.0,ClassVenueDistance
Class 4,沙田,AWT,1200,57-90d,0,2,0,57.5,0.0,0.0,ClassVenueDistance
Class 4,沙田,AWT,1200,91d+,0,2,1,41.55,0.0,50.0,ClassVenueDistance
Class 4,沙田,AWT,1650,91d+,0,2,0,24.0,0.0,0.0,ClassVenueDistance
Class 4,跑馬地,Turf,1000,57-90d,0,2,0,24.5,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,1600,91d+,0,2,0,20.5,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,1200,91d+,0,2,2,7.6,0.0,100.0,ClassVenueDistance
Class 5,跑馬地,Turf,1650,91d+,0,2,1,40.5,0.0,50.0,ClassVenueDistance
Group 2,沙田,Turf,1600,<=14d,0,2,1,19.0,0.0,50.0,ClassVenueDistance
Group 3,沙田,Turf,1000,29-56d,0,2,1,9.8,0.0,50.0,ClassVenueDistance
Group 3,沙田,Turf,1600,57-90d,0,2,0,29.85,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,1600,<=14d,0,2,0,26.5,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,1800,15-28d,0,2,0,16.0,0.0,0.0,ClassVenueDistance
Class 3,沙田,Turf,1600,57-90d,1,1,1,3.0,100.0,100.0,ClassVenueDistance
Griffin,沙田,Turf,1000,57-90d,1,1,1,1.7,100.0,100.0,ClassVenueDistance
Group 3,沙田,Turf,1600,15-28d,1,1,1,8.9,100.0,100.0,ClassVenueDistance
Class 1,沙田,Turf,1000,57-90d,0,1,0,39.0,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1000,91d+,0,1,0,10.0,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1000,<=14d,0,1,1,3.5,0.0,100.0,ClassVenueDistance
Class 1,沙田,Turf,1400,<=14d,0,1,0,21.0,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1600,29-56d,0,1,0,15.0,0.0,0.0,ClassVenueDistance
