Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
廖康銘,沙田,AWT,1650,3,17,9,0.7999999999999994,30.55,17.65,52.94,4.71
賀賢,跑馬地,Turf,1800,2,17,7,-8.2,22.44,11.76,41.18,-48.24
伍鵬志,沙田,Turf,1800,1,17,6,-6.0,29.96,5.88,35.29,-35.29
姚本輝,跑馬地,Turf,1000,1,17,3,12.0,22.79,5.88,17.65,70.59
方嘉柏,沙田,Turf,1800,1,17,4,-11.5,13.38,5.88,23.53,-67.65
蔡約翰,跑馬地,Turf,1000,1,17,5,-6.0,20.44,5.88,29.41,-35.29
廖康銘,跑馬地,Turf,1800,0,17,5,-17.0,19.74,0.0,29.41,-100.0
黎昭昇,沙田,Turf,1600,0,17,3,-17.0,54.12,0.0,17.65,-100.0
呂健威,沙田,Turf,1800,3,16,7,1.5999999999999996,12.22,18.75,43.75,10.0
方嘉柏,沙田,Turf,1000,2,16,2,-10.9,36.38,12.5,12.5,-68.12
沈集成,沙田,Turf,1800,1,16,2,-13.4,38.29,6.25,12.5,-83.75
蘇偉賢,跑馬地,Turf,1000,0,16,0,-16.0,34.92,0.0,0.0,-100.0
賀賢,跑馬地,Turf,1000,0,16,2,-16.0,39.68,0.0,12.5,-100.0
游達榮,跑馬地,Turf,1800,2,15,3,-5.5,34.91,13.33,20.0,-36.67
沈集成,沙田,Turf,1000,1,15,2,-10.3,37.41,6.67,13.33,-68.67
葉楚航,沙田,AWT,1650,1,15,4,29.0,23.22,6.67,26.67,193.33
容天鵬,沙田,Turf,1000,0,15,5,-15.0,17.69,0.0,33.33,-100.0
廖康銘,沙田,Turf,1000,0,15,5,-15.0,24.13,0.0,33.33,-100.0
賀賢,沙田,Turf,2000,0,15,5,-15.0,33.89,0.0,33.33,-100.0
沈集成,沙田,Turf,2000,4,14,6,-4.0,19.74,28.57,42.86,-28.57
呂健威,跑馬地,Turf,1800,2,14,2,12.899999999999999,28.46,14.29,14.29,92.14
蔡約翰,跑馬地,Turf,1800,2,14,3,-7.5,15.19,14.29,21.43,-53.57
徐雨石,沙田,AWT,1650,1,14,2,43.0,36.16,7.14,14.29,307.14
韋達,跑馬地,Turf,1800,1,14,3,-11.0,21.27,7.14,21.43,-78.57
姚本輝,跑馬地,Turf,1800,0,14,1,-14.0,25.54,0.0,7.14,-100.0
容天鵬,沙田,AWT,1650,0,14,2,-14.0,33.5,0.0,14.29,-100.0
葉楚航,沙田,Turf,1800,0,14,0,-14.0,32.49,0.0,0.0,-100.0
沈集成,跑馬地,Turf,2200,1,13,5,1.0,17.99,7.69,38.46,7.69
大衛希斯,沙田,Turf,2000,0,13,1,-13.0,33.53,0.0,7.69,-100.0
巫偉傑,跑馬地,Turf,1800,0,13,1,-13.0,12.25,0.0,7.69,-100.0
游達榮,沙田,Turf,1800,0,13,0,-13.0,73.01,0.0,0.0,-100.0
鄭俊偉,跑馬地,Turf,1800,0,13,2,-13.0,28.39,0.0,15.38,-100.0
游達榮,跑馬地,Turf,1000,2,12,5,-2.5999999999999996,14.2,16.67,41.67,-21.67
葉楚航,沙田,Turf,2000,2,12,3,20.8,38.32,16.67,25.0,173.33
葉楚航,跑馬地,Turf,1800,2,12,2,9.0,19.46,16.67,16.67,75.0
葉楚航,跑馬地,Turf,2200,2,12,4,-5.9,19.06,16.67,33.33,-49.17
游達榮,沙田,AWT,1200,1,12,4,-9.2,20.33,8.33,33.33,-76.67
鄭俊偉,沙田,Turf,1000,1,12,3,-2.0,85.68,8.33,25.0,-16.67
姚本輝,沙田,Turf,1000,0,12,0,-12.0,35.97,0.0,0.0,-100.0
韋達,沙田,Turf,1800,0,12,3,-12.0,40.05,0.0,25.0,-100.0
黎昭昇,沙田,AWT,1650,0,12,4,-12.0,35.13,0.0,33.33,-100.0
告東尼,跑馬地,Turf,2200,2,11,4,-2.0,9.83,18.18,36.36,-18.18
容天鵬,跑馬地,Turf,1000,2,11,5,-1.3000000000000003,17.66,18.18,45.45,-11.82
廖康銘,沙田,Turf,2000,2,11,4,-3.5,11.54,18.18,36.36,-31.82
廖康銘,沙田,Turf,1800,1,11,3,1.0,25.35,9.09,27.27,9.09
賀賢,沙田,Turf,1800,1,11,2,-4.2,30.31,9.09,18.18,-38.18
賀賢,跑馬地,Turf,2200,1,11,5,-8.0,9.75,9.09,45.45,-72.73
伍鵬志,跑馬地,Turf,2200,0,11,2,-11.0,14.09,0.0,18.18,-100.0
呂健威,沙田,AWT,1650,0,11,0,-11.0,19.06,0.0,0.0,-100.0
巫偉傑,沙田,Turf,1800,0,11,4,-11.0,19.93,0.0,36.36,-100.0
徐雨石,沙田,Turf,1000,0,11,1,-11.0,50.18,0.0,9.09,-100.0
蘇偉賢,沙田,Turf,1800,0,11,2,-11.0,18.73,0.0,18.18,-100.0
韋達,沙田,AWT,1650,0,11,1,-11.0,61.48,0.0,9.09,-100.0
蔡約翰,跑馬地,Turf,2200,2,10,6,3.2,11.63,20.0,60.0,32.0
伍鵬志,沙田,AWT,1800,1,10,2,-6.9,15.25,10.0,20.0,-69.0
蘇偉賢,沙田,Turf,2000,1,10,3,-5.0,37.89,10.0,30.0,-50.0
呂健威,沙田,AWT,1200,0,10,2,-10.0,38.79,0.0,20.0,-100.0
