Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡明紹,沙田,AWT,1650,0,18,2,-18.0,44.31,0.0,11.11,-100.0
黃寶妮,跑馬地,Turf,1200,0,18,3,-18.0,40.1,0.0,16.67,-100.0
黃寶妮,沙田,AWT,1200,3,17,6,3.4000000000000004,18.98,17.65,35.29,20.0
布文,沙田,Turf,1800,1,17,5,-11.7,15.01,5.88,29.41,-68.82
紀仁安,沙田,Turf,1600,1,17,4,-13.2,16.04,5.88,23.53,-77.65
希威森,跑馬地,Turf,1000,0,17,2,-17.0,44.74,0.0,11.76,-100.0
田泰安,跑馬地,Turf,1000,0,17,1,-17.0,22.55,0.0,5.88,-100.0
霍宏聲,沙田,Turf,1000,0,17,1,-17.0,42.76,0.0,5.88,-100.0
潘頓,跑馬地,Turf,1800,3,16,9,-5.0,4.4,18.75,56.25,-31.25
楊明綸,跑馬地,Turf,1800,2,16,4,2.5,23.51,12.5,25.0,15.62
潘明輝,沙田,AWT,1650,2,16,2,9.0,27.69,12.5,12.5,56.25
何澤堯,沙田,Turf,1000,1,16,3,-13.2,30.33,6.25,18.75,-82.5
奧爾民,沙田,AWT,1650,1,16,4,12.0,41.11,6.25,25.0,75.0
杜苑欣,沙田,Turf,1400,1,16,5,-6.4,21.5,6.25,31.25,-40.0
田泰安,跑馬地,Turf,1800,1,16,3,-1.0,17.23,6.25,18.75,-6.25
杜苑欣,跑馬地,Turf,1650,0,16,3,-16.0,16.39,0.0,18.75,-100.0
艾兆禮,跑馬地,Turf,1000,0,16,1,-16.0,18.32,0.0,6.25,-100.0
鍾易禮,沙田,Turf,1000,0,16,2,-16.0,31.05,0.0,12.5,-100.0
艾兆禮,沙田,Turf,1800,3,15,5,15.5,27.66,20.0,33.33,103.33
麥道朗,沙田,Turf,1400,2,15,8,-9.4,6.9,13.33,53.33,-62.67
周俊樂,沙田,Turf,1000,1,15,5,6.0,31.57,6.67,33.33,40.0
何澤堯,沙田,AWT,1200,0,15,2,-15.0,38.53,0.0,13.33,-100.0
周俊樂,沙田,AWT,1650,0,15,4,-15.0,19.72,0.0,26.67,-100.0
布文,沙田,Turf,1000,0,15,0,-15.0,19.21,0.0,0.0,-100.0
董明朗,沙田,Turf,1200,0,15,3,-15.0,74.1,0.0,20.0,-100.0
鍾易禮,沙田,AWT,1650,0,15,2,-15.0,30.87,0.0,13.33,-100.0
莫雷拉,跑馬地,Turf,1200,4,14,7,6.3999999999999995,9.89,28.57,50.0,45.71
