HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
H203,添開心(H203),跑馬地,Turf,1200,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H206,小神仙(H206),沙田,Turf,1400,0,1,0,-1.0,48.0,0.0,0.0,-100.0
H206,小神仙(H206),沙田,Turf,1600,0,1,0,-1.0,35.0,0.0,0.0,-100.0
H206,小神仙(H206),跑馬地,Turf,1650,0,1,0,-1.0,61.0,0.0,0.0,-100.0
H206,小神仙(H206),跑馬地,Turf,1800,0,1,0,-1.0,58.0,0.0,0.0,-100.0
H207,紅海勁(H207),跑馬地,Turf,1800,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H207,紅海勁(H207),跑馬地,Turf,2200,0,1,0,-1.0,54.0,0.0,0.0,-100.0
H208,萬眾開心(H208),跑馬地,Turf,1200,0,1,0,-1.0,31.0,0.0,0.0,-100.0
H212,禪勝輝煌(H212),沙田,Turf,2000,0,1,0,-1.0,47.0,0.0,0.0,-100.0
H212,禪勝輝煌(H212),跑馬地,Turf,1800,0,1,0,-1.0,17.0,0.0,0.0,-100.0
H213,富喜來(H213),沙田,Turf,1600,0,1,0,-1.0,80.0,0.0,0.0,-100.0
H215,喜蓮勇感(H215),沙田,AWT,1650,0,1,0,-1.0,71.0,0.0,0.0,-100.0
H215,喜蓮勇感(H215),沙田,Turf,1400,0,1,0,-1.0,62.0,0.0,0.0,-100.0
H215,喜蓮勇感(H215),沙田,Turf,1600,0,1,0,-1.0,33.0,0.0,0.0,-100.0
H216,鈦易搵(H216),沙田,Turf,1000,0,1,0,-1.0,57.0,0.0,0.0,-100.0
H216,鈦易搵(H216),沙田,Turf,1200,0,1,0,-1.0,45.0,0.0,0.0,-100.0
H216,鈦易搵(H216),沙田,Turf,1600,0,1,0,-1.0,33.0,0.0,0.0,-100.0
H216,鈦易搵(H216),跑馬地,Turf,1800,0,1,0,-1.0,39.0,0.0,0.0,-100.0
H229,運來勇士(H229),沙田,AWT,1650,0,1,0,-1.0,88.0,0.0,0.0,-100.0
H229,運來勇士(H229),沙田,Turf,1000,0,1,0,-1.0,81.0,0.0,0.0,-100.0
H229,運來勇士(H229),跑馬地,Turf,1000,0,1,0,-1.0,56.0,0.0,0.0,-100.0
H230,大數據(H230),跑馬地,Turf,1200,0,1,0,-1.0,9.2,0.0,0.0,-100.0
H233,北海盜(H233),沙田,AWT,1800,0,1,0,-1.0,59.0,0.0,0.0,-100.0
H233,北海盜(H233),沙田,Turf,1800,0,1,0,-1.0,47.0,0.0,0.0,-100.0
H233,北海盜(H233),跑馬地,Turf,1800,0,1,0,-1.0,23.0,0.0,0.0,-100.0
H234,大利好運(H234),沙田,Turf,1400,0,1,0,-1.0,51.0,0.0,0.0,-100.0
H234,大利好運(H234),沙田,Turf,1800,0,1,0,-1.0,23.0,0.0,0.0,-100.0
H234,大利好運(H234),沙田,Turf,2000,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H234,大利好運(H234),跑馬地,Turf,1650,0,1,0,-1.0,35.0,0.0,0.0,-100.0
H235,幸運星球(H235),沙田,Turf,1200,0,1,0,-1.0,51.0,0.0,0.0,-100.0
H237,精算謀略(H237),沙田,Turf,1400,0,1,0,-1.0,24.0,0.0,0.0,-100.0
H241,紅逸舍(H241),沙田,AWT,1200,0,1,0,-1.0,62.0,0.0,0.0,-100.0
H241,紅逸舍(H241),沙田,Turf,1000,0,1,0,-1.0,83.0,0.0,0.0,-100.0
H244,陽光勇士(H244),沙田,Turf,1800,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H246,包裝伯樂(H246),沙田,Turf,1000,0,1,0,-1.0,27.0,0.0,0.0,-100.0
H246,包裝伯樂(H246),跑馬地,Turf,1200,0,1,0,-1.0,45.0,0.0,0.0,-100.0
H247,飛躍精英(H247),跑馬地,Turf,1000,0,1,0,-1.0,9.7,0.0,0.0,-100.0
H252,果然僥倖(H252),沙田,Turf,1400,0,1,1,-1.0,15.0,0.0,100.0,-100.0
H257,九五赤兔(H257),沙田,Turf,1400,0,1,0,-1.0,88.0,0.0,0.0,-100.0
H262,喜至寶(H262),沙田,Turf,1400,0,1,0,-1.0,92.0,0.0,0.0,-100.0
H262,喜至寶(H262),跑馬地,Turf,1200,0,1,0,-1.0,56.0,0.0,0.0,-100.0
H273,至旺財(H273),跑馬地,Turf,1200,0,1,0,-1.0,8.7,0.0,0.0,-100.0
H278,你知我得(H278),沙田,Turf,1400,0,1,0,-1.0,29.0,0.0,0.0,-100.0
H283,日日獎(H283),沙田,Turf,1200,0,1,0,-1.0,65.0,0.0,0.0,-100.0
H289,唯美主義(H289),沙田,Turf,1800,0,1,0,-1.0,45.0,0.0,0.0,-100.0
H289,唯美主義(H289),沙田,Turf,2000,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H289,唯美主義(H289),跑馬地,Turf,2200,0,1,0,-1.0,42.0,0.0,0.0,-100.0
H292,木火龍駒(H292),沙田,Turf,1200,0,1,0,-1.0,117.0,0.0,0.0,-100.0
H293,開心三多(H293),沙田,AWT,1200,0,1,0,-1.0,29.0,0.0,0.0,-100.0
H293,開心三多(H293),沙田,Turf,2000,0,1,1,-1.0,9.3,0.0,100.0,-100.0
H293,開心三多(H293),跑馬地,Turf,1800,0,1,1,-1.0,8.4,0.0,100.0,-100.0
H293,開心三多(H293),跑馬地,Turf,2200,0,1,0,-1.0,4.4,0.0,0.0,-100.0
H296,八駿笑昇(H296),沙田,AWT,1800,0,1,0,-1.0,35.0,0.0,0.0,-100.0
H296,八駿笑昇(H296),沙田,Turf,1600,0,1,0,-1.0,34.0,0.0,0.0,-100.0
H297,快樂奇兵(H297),沙田,Turf,1400,0,1,0,-1.0,3.2,0.0,0.0,-100.0
H298,巴閉仔(H298),跑馬地,Turf,1650,0,1,0,-1.0,95.0,0.0,0.0,-100.0
H301,賢者無敵(H301),跑馬地,Turf,1200,0,1,0,-1.0,19.0,0.0,0.0,-100.0
H302,驕陽明駒(H302),沙田,Turf,1400,0,1,1,-1.0,44.0,0.0,100.0,-100.0
H319,獨步天下(H319),跑馬地,Turf,1200,0,1,0,-1.0,53.0,0.0,0.0,-100.0
H320,飛雲(H320),沙田,Turf,1200,0,1,0,-1.0,75.0,0.0,0.0,-100.0
H321,千杯敬典(H321),沙田,Turf,1000,0,1,0,-1.0,94.0,0.0,0.0,-100.0
H321,千杯敬典(H321),跑馬地,Turf,1000,0,1,0,-1.0,16.0,0.0,0.0,-100.0
H324,大千氣象(H324),跑馬地,Turf,2200,0,1,0,-1.0,13.0,0.0,0.0,-100.0
H325,新力(H325),沙田,AWT,1200,0,1,0,-1.0,9.2,0.0,0.0,-100.0
H326,江南盛(H326),沙田,Turf,1200,0,1,0,-1.0,48.0,0.0,0.0,-100.0
H330,高將軍(H330),沙田,Turf,1200,0,1,0,-1.0,203.0,0.0,0.0,-100.0
H330,高將軍(H330),跑馬地,Turf,1200,0,1,0,-1.0,129.0,0.0,0.0,-100.0
H332,極速之子(H332),沙田,AWT,1650,0,1,0,-1.0,27.0,0.0,0.0,-100.0
H332,極速之子(H332),跑馬地,Turf,1800,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H334,同樣美麗(H334),沙田,Turf,1600,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H337,自強不息(H337),沙田,AWT,1200,0,1,0,-1.0,20.0,0.0,0.0,-100.0
H337,自強不息(H337),沙田,Turf,1200,0,1,0,-1.0,59.0,0.0,0.0,-100.0
H337,自強不息(H337),跑馬地,Turf,1200,0,1,0,-1.0,69.0,0.0,0.0,-100.0
H339,瀧澤飛駒(H339),沙田,Turf,1800,0,1,1,-1.0,4.7,0.0,100.0,-100.0
H339,瀧澤飛駒(H339),跑馬地,Turf,1650,0,1,1,-1.0,4.8,0.0,100.0,-100.0
H344,平海之星(H344),跑馬地,Turf,1800,0,1,0,-1.0,21.0,0.0,0.0,-100.0
H344,平海之星(H344),跑馬地,Turf,2200,0,1,0,-1.0,24.0,0.0,0.0,-100.0
H347,紅海風帆(H347),沙田,Turf,1000,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H349,同有運(H349),跑馬地,Turf,1200,0,1,0,-1.0,19.0,0.0,0.0,-100.0
H354,精算特殊(H354),沙田,AWT,1650,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H354,精算特殊(H354),沙田,Turf,1400,0,1,0,-1.0,23.0,0.0,0.0,-100.0
H356,電玩精英(H356),跑馬地,Turf,1650,0,1,0,-1.0,18.0,0.0,0.0,-100.0
H358,青春力量(H358),沙田,AWT,1650,0,1,1,-1.0,14.0,0.0,100.0,-100.0
H366,知道長勝(H366),跑馬地,Turf,1200,0,1,0,-1.0,96.0,0.0,0.0,-100.0
H368,精算暴雪(H368),沙田,Turf,1000,0,1,1,-1.0,14.0,0.0,100.0,-100.0
H368,精算暴雪(H368),沙田,Turf,1400,0,1,0,-1.0,158.0,0.0,0.0,-100.0
H374,背背龍(H374),跑馬地,Turf,1650,0,1,0,-1.0,31.0,0.0,0.0,-100.0
H376,英駿飛駒(H376),跑馬地,Turf,1800,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H380,勁速威龍(H380),沙田,Turf,1400,0,1,1,-1.0,25.0,0.0,100.0,-100.0
H380,勁速威龍(H380),沙田,Turf,1800,0,1,1,-1.0,4.9,0.0,100.0,-100.0
H380,勁速威龍(H380),跑馬地,Turf,1650,0,1,0,-1.0,4.3,0.0,0.0,-100.0
H381,我做到(H381),沙田,AWT,1650,0,1,0,-1.0,71.0,0.0,0.0,-100.0
H381,我做到(H381),沙田,Turf,1600,0,1,0,-1.0,65.0,0.0,0.0,-100.0
H381,我做到(H381),跑馬地,Turf,1200,0,1,0,-1.0,96.0,0.0,0.0,-100.0
H381,我做到(H381),跑馬地,Turf,1800,0,1,0,-1.0,20.0,0.0,0.0,-100.0
H382,雙贏(H382),沙田,AWT,1800,0,1,0,-1.0,36.0,0.0,0.0,-100.0
H382,雙贏(H382),跑馬地,Turf,1800,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H383,春風萬里(H383),沙田,Turf,1400,0,1,1,-1.0,4.4,0.0,100.0,-100.0
H383,春風萬里(H383),沙田,Turf,1600,0,1,1,-1.0,17.0,0.0,100.0,-100.0
H383,春風萬里(H383),沙田,Turf,2400,0,1,0,-1.0,25.0,0.0,0.0,-100.0
H385,發光發亮(H385),沙田,Turf,1600,0,1,0,-1.0,20.0,0.0,0.0,-100.0
H385,發光發亮(H385),跑馬地,Turf,1000,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H386,同寶寶(H386),沙田,AWT,1800,0,1,0,-1.0,42.0,0.0,0.0,-100.0
H388,風火恆雲(H388),沙田,Turf,1600,0,1,0,-1.0,17.0,0.0,0.0,-100.0
H389,愛心神駒(H389),沙田,Turf,1800,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H389,愛心神駒(H389),跑馬地,Turf,1650,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H389,愛心神駒(H389),跑馬地,Turf,1800,0,1,0,-1.0,13.0,0.0,0.0,-100.0
H392,君達得(H392),沙田,AWT,1650,0,1,0,-1.0,23.0,0.0,0.0,-100.0
