Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
伯特,沙田,Turf,2000,0,1,0,-1.0,17.0,0.0,0.0,-100.0
侯耀誠,沙田,Turf,1200,0,1,0,-1.0,147.0,0.0,0.0,-100.0
包義定,沙田,Turf,2400,0,1,0,-1.0,21.0,0.0,0.0,-100.0
呂健威,沙田,Turf,2400,0,1,1,-1.0,9.0,0.0,100.0,-100.0
大衛希斯,沙田,Turf,2400,0,1,0,-1.0,6.6,0.0,0.0,-100.0
姚本輝,沙田,AWT,1800,0,1,0,-1.0,22.0,0.0,0.0,-100.0
岳伯仁,沙田,Turf,1600,0,1,0,-1.0,18.0,0.0,0.0,-100.0
岳伯仁,沙田,Turf,2400,0,1,0,-1.0,12.0,0.0,0.0,-100.0
岳品賢,沙田,Turf,1200,0,1,0,-1.0,367.0,0.0,0.0,-100.0
岳本賢,沙田,Turf,2000,0,1,0,-1.0,34.0,0.0,0.0,-100.0
岳本賢,沙田,Turf,2400,0,1,0,-1.0,8.6,0.0,0.0,-100.0
巴伯樂,沙田,Turf,1600,0,1,0,-1.0,82.0,0.0,0.0,-100.0
布銘球,沙田,Turf,2400,0,1,1,-1.0,4.2,0.0,100.0,-100.0
徐雨石,沙田,AWT,1800,0,1,0,-1.0,91.0,0.0,0.0,-100.0
手塚貴久,沙田,Turf,2000,0,1,1,-1.0,5.6,0.0,100.0,-100.0
方嘉柏,沙田,Turf,2400,0,1,0,-1.0,25.0,0.0,0.0,-100.0
杉山晴紀,沙田,Turf,2000,0,1,0,-1.0,101.0,0.0,0.0,-100.0
桂福特,跑馬地,Turf,2200,0,1,0,-1.0,4.4,0.0,0.0,-100.0
森一誠,沙田,Turf,1600,0,1,0,-1.0,7.2,0.0,0.0,-100.0
武井亮,沙田,Turf,1600,0,1,0,-1.0,29.0,0.0,0.0,-100.0
武井亮,沙田,Turf,2400,0,1,0,-1.0,5.7,0.0,0.0,-100.0
武英智,沙田,Turf,2000,0,1,0,-1.0,35.0,0.0,0.0,-100.0
池江泰壽,沙田,Turf,1600,0,1,1,-1.0,7.1,0.0,100.0,-100.0
游達榮,跑馬地,Turf,2200,0,1,0,-1.0,11.0,0.0,0.0,-100.0
田中博康,沙田,Turf,2000,0,1,0,-1.0,43.0,0.0,0.0,-100.0
羅富全,跑馬地,Turf,2200,0,1,1,-1.0,13.0,0.0,100.0,-100.0
葛威法,沙田,Turf,2000,0,1,1,-1.0,10.0,0.0,100.0,-100.0
葛威法,沙田,Turf,2400,0,1,1,-1.0,20.0,0.0,100.0,-100.0
費伯華,沙田,Turf,2000,0,1,1,-1.0,8.2,0.0,100.0,-100.0
韋達,跑馬地,Turf,2200,0,1,0,-1.0,16.0,0.0,0.0,-100.0
高野友和,沙田,Turf,1600,0,1,0,-1.0,3.0,0.0,0.0,-100.0
鹿戶雄一,沙田,Turf,1200,0,1,0,-1.0,69.0,0.0,0.0,-100.0
黎昭昇,沙田,Turf,2000,0,1,1,-1.0,15.0,0.0,100.0,-100.0
