rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
163,jt_fit_tempered+formline_purer,place_off,3.5%,18.7%,37.7%,41.8%,49.1%,50,147,108,11,-0.6,-2.2,-1.3,-0.8,+2,+2
164,jt_fit_tempered+class_weight_class_only+track_pure,place_half,3.5%,18.7%,37.7%,41.8%,49.1%,50,147,108,11,-0.6,-2.2,-1.3,-0.8,+2,+2
165,jt_fit_tempered+class_weight_80_20,place_off,3.5%,18.7%,37.7%,41.7%,49.4%,51,146,108,11,-0.6,-2.2,-1.3,-0.9,+3,+1
166,jt_fit_tempered+class_weight_80_20+formline_purer,place_off,3.5%,18.7%,37.7%,41.7%,49.4%,51,146,108,11,-0.6,-2.2,-1.3,-0.9,+3,+1
167,sectional_speed_heavy+class_weight_no_rating,place_live,4.1%,20.9%,37.3%,42.0%,49.4%,49,149,105,13,+0.0,+0.0,-1.6,-0.6,+1,+4
168,sectional_speed_heavy+class_weight_no_rating+formline_purer,place_live,4.1%,20.9%,37.3%,42.0%,49.4%,49,149,105,13,+0.0,+0.0,-1.6,-0.6,+1,+4
169,sectional_speed_heavy+class_weight_80_20+class_weight_no_rating,place_live,4.1%,20.9%,37.3%,42.0%,49.4%,49,149,105,13,+0.0,+0.0,-1.6,-0.6,+1,+4
170,sectional_speed_heavy+class_weight_class_only+class_weight_no_rating,place_live,4.1%,20.9%,37.3%,42.0%,49.4%,49,149,105,13,+0.0,+0.0,-1.6,-0.6,+1,+4
171,sectional_speed_heavy+class_weight_no_rating,place_half,3.8%,20.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,+0.0,-1.6,-0.6,+0,+5
172,sectional_speed_heavy+class_weight_no_rating+formline_purer,place_half,3.8%,20.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,+0.0,-1.6,-0.6,+0,+5
173,sectional_speed_heavy+class_weight_80_20+class_weight_no_rating,place_half,3.8%,20.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,+0.0,-1.6,-0.6,+0,+5
174,sectional_speed_heavy+class_weight_class_only+class_weight_no_rating,place_half,3.8%,20.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,+0.0,-1.6,-0.6,+0,+5
175,race_shape_light_track+class_weight_heavy_rating+track_pure,place_live,4.7%,20.3%,37.3%,42.1%,49.4%,50,148,103,15,+0.6,-0.6,-1.6,-0.5,+2,+3
176,race_shape_light_track+class_weight_heavy_rating+track_pure,place_half,4.4%,20.3%,37.3%,42.0%,49.4%,50,148,104,14,+0.3,-0.6,-1.6,-0.6,+2,+3
177,sectional_speed_heavy+jt_fit_tempered+class_weight_heavy_rating,place_half,4.1%,20.3%,37.3%,42.2%,50.3%,47,151,105,13,+0.0,-0.6,-1.6,-0.4,-1,+6
178,sectional_speed_heavy,place_off,3.8%,20.3%,37.3%,42.2%,50.6%,46,152,106,12,-0.3,-0.6,-1.6,-0.4,-2,+7
179,sectional_speed_heavy+formline_purer,place_off,3.8%,20.3%,37.3%,42.2%,50.6%,46,152,106,12,-0.3,-0.6,-1.6,-0.4,-2,+7
180,formline_purer,place_off,3.8%,19.9%,37.3%,42.1%,50.6%,47,151,106,12,-0.3,-0.9,-1.6,-0.5,-1,+6
181,baseline_formula,place_off,3.8%,19.9%,37.3%,42.1%,50.6%,47,151,106,12,-0.3,-0.9,-1.6,-0.5,-1,+6
