Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
呂健威,Class 1,沙田,Turf,1200,0,2,0,-2.0,45.5,0.0,0.0,-100.0
呂健威,Class 2,沙田,Turf,1400,0,2,2,-2.0,5.6,0.0,100.0,-100.0
呂健威,Class 3,跑馬地,Turf,1650,0,2,0,-2.0,10.85,0.0,0.0,-100.0
告東尼,Class 1,沙田,Turf,1200,0,2,1,-2.0,20.5,0.0,50.0,-100.0
告東尼,Class 2,沙田,AWT,1650,0,2,0,-2.0,25.5,0.0,0.0,-100.0
告東尼,Class 2,跑馬地,Turf,1650,0,2,1,-2.0,7.15,0.0,50.0,-100.0
告東尼,Class 3,沙田,Turf,1000,0,2,0,-2.0,50.0,0.0,0.0,-100.0
告東尼,Class 4,沙田,AWT,1650,0,2,0,-2.0,31.0,0.0,0.0,-100.0
告東尼,Class 4,沙田,Turf,1600,0,2,1,-2.0,10.0,0.0,50.0,-100.0
告東尼,Group 2,沙田,Turf,1600,0,2,0,-2.0,41.0,0.0,0.0,-100.0
大衛希斯,Class 3,跑馬地,Turf,1000,0,2,0,-2.0,26.0,0.0,0.0,-100.0
大衛希斯,Class 4,跑馬地,Turf,1000,0,2,0,-2.0,40.5,0.0,0.0,-100.0
大衛希斯,Class 4,跑馬地,Turf,1650,0,2,1,-2.0,6.75,0.0,50.0,-100.0
姚本輝,Class 2,跑馬地,Turf,1650,0,2,0,-2.0,68.5,0.0,0.0,-100.0
姚本輝,Class 3,沙田,Turf,1000,0,2,0,-2.0,23.1,0.0,0.0,-100.0
姚本輝,Class 3,跑馬地,Turf,1650,0,2,1,-2.0,16.5,0.0,50.0,-100.0
姚本輝,Class 4,沙田,Turf,1600,0,2,0,-2.0,28.0,0.0,0.0,-100.0
姚本輝,Group 2,沙田,Turf,1600,0,2,1,-2.0,22.0,0.0,50.0,-100.0
岳伯仁,Group 1,沙田,Turf,2000,0,2,0,-2.0,63.5,0.0,0.0,-100.0
巫偉傑,Class 3,跑馬地,Turf,1200,0,2,0,-2.0,66.0,0.0,0.0,-100.0
巫偉傑,Class 3,跑馬地,Turf,1650,0,2,1,-2.0,9.45,0.0,50.0,-100.0
