RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Griffin,沙田,Turf,1200,4-6,0,1,0,32.0,0.0,0.0
Griffin,沙田,Turf,1200,7-9,0,1,0,3.3,0.0,0.0
Group 1,跑馬地,Turf,1650,1-3,0,1,0,13.0,0.0,0.0
Group 2,沙田,Turf,1200,10+,0,1,1,18.0,0.0,100.0
Group 2,沙田,Turf,1200,4-6,0,1,0,183.0,0.0,0.0
Group 3,沙田,Turf,1000,1-3,0,1,0,7.2,0.0,0.0
Group 3,沙田,Turf,1000,4-6,0,1,0,5.3,0.0,0.0
Group 3,沙田,Turf,1400,4-6,0,1,1,20.0,0.0,100.0
Group 3,沙田,Turf,1800,10+,0,1,0,38.0,0.0,0.0
Unknown,沙田,Turf,1800,1-3,0,1,0,129.0,0.0,0.0
