Trainer,Going,Wins,Starts,Places,WinRate
姚本輝,第二班 - 1600米 - (100-80),0,1,0,0.0
姚本輝,第二班 - 1600米 - (105-80),0,1,0,0.0
姚本輝,第二班 - 1650米 - (100-75),0,1,0,0.0
姚本輝,第二班 - 1650米 - (100-80),0,1,0,0.0
姚本輝,第二班 - 1650米 - (105-80),1,1,1,100.0
姚本輝,第二班 - 1800米 - (100-70),0,1,0,0.0
姚本輝,第二班 - 1800米 - (100-75),0,2,0,0.0
姚本輝,第二班 - 1800米 - (100-80),0,1,1,0.0
姚本輝,第二班 - 2000米 - (100-75),0,1,0,0.0
姚本輝,第二班 - 2000米 - (95-70),0,1,1,0.0
姚本輝,第五班 - 1000米 - (40-0),0,1,0,0.0
姚本輝,第五班 - 1200米 - (40-0),1,10,3,10.0
姚本輝,第五班 - 1400米 - (40-0),2,8,7,25.0
姚本輝,第五班 - 1600米 - (40-0),0,5,2,0.0
姚本輝,第五班 - 1650米 - (40-0),1,9,4,11.1
姚本輝,第五班 - 1800米 - (40-0),0,5,0,0.0
姚本輝,第五班 - 2200米 - (40-0),0,1,0,0.0
姚本輝,第四班 - 1000米 - (60-40),1,8,2,12.5
姚本輝,第四班 - 1200米 - (60-40),5,68,17,7.4
姚本輝,第四班 - 1400米 - (60-40),2,23,6,8.7
姚本輝,第四班 - 1600米 - (60-40),1,11,3,9.1
姚本輝,第四班 - 1650米 - (60-40),0,23,7,0.0
姚本輝,第四班 - 1800米 - (60-40),1,8,4,12.5
姚本輝,第四班 - 2000米 - (60-40),0,2,2,0.0
姚本輝,第四班 - 2200米 - (60-40),0,3,0,0.0
姚本輝,第四班（條件限制） - 1200米 - (60-40),0,1,0,0.0
姚本輝,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
岳伯仁,一級賽 - 1600米,0,1,0,0.0
岳伯仁,一級賽 - 2400米,0,1,0,0.0
岳品賢,一級賽 - 1200米,0,1,0,0.0
岳本賢,一級賽 - 2000米,0,1,0,0.0
岳本賢,一級賽 - 2400米,0,1,0,0.0
巫偉傑,一級賽 - 1600米,0,1,0,0.0
巫偉傑,三級賽 - 1000米,0,2,1,0.0
巫偉傑,三級賽 - 1400米,0,3,0,0.0
巫偉傑,三級賽 - 1800米,0,1,0,0.0
巫偉傑,二級賽 - 1200米,0,1,0,0.0
巫偉傑,二級賽 - 1600米,0,1,0,0.0
巫偉傑,四歲 - 1600米,0,1,0,0.0
巫偉傑,四歲 - 1800米,0,1,0,0.0
巫偉傑,四歲 - 2000米,0,1,0,0.0
巫偉傑,新馬賽 - 1000米,0,1,0,0.0
巫偉傑,第一班 - 1200米 - (80+),0,1,0,0.0
巫偉傑,第三班 - 1000米 - (80-60),0,2,2,0.0
巫偉傑,第三班 - 1000米 - (85-60),0,1,0,0.0
巫偉傑,第三班 - 1200米 - (80-55),0,2,2,0.0
巫偉傑,第三班 - 1200米 - (80-60),2,38,10,5.3
巫偉傑,第三班 - 1200米 - (85-60),0,1,0,0.0
巫偉傑,第三班 - 1400米 - (80-60),2,25,6,8.0
巫偉傑,第三班 - 1400米 - (85-60),0,1,0,0.0
巫偉傑,第三班 - 1600米 - (80-60),0,9,0,0.0
巫偉傑,第三班 - 1600米 - (85-60),0,1,0,0.0
巫偉傑,第三班 - 1650米 - (80-55),0,1,0,0.0
巫偉傑,第三班 - 1650米 - (80-60),0,19,2,0.0
巫偉傑,第三班 - 1800米 - (80-60),0,3,0,0.0
巫偉傑,第三班 - 1800米 - (85-60),0,2,0,0.0
巫偉傑,第三班 - 2000米 - (80-60),0,1,0,0.0
巫偉傑,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
巫偉傑,第二班 - 1000米 - (105-75),0,1,0,0.0
巫偉傑,第二班 - 1000米 - (105-80),0,2,0,0.0
巫偉傑,第二班 - 1200米 - (100-80),0,6,2,0.0
巫偉傑,第二班 - 1200米 - (105-80),0,1,0,0.0
巫偉傑,第二班 - 1400米 - (100-75),1,1,1,100.0
巫偉傑,第二班 - 1400米 - (100-80),0,1,0,0.0
巫偉傑,第二班 - 1400米 - (105-80),2,6,4,33.3
巫偉傑,第二班 - 1600米 - (100-75),0,1,0,0.0
巫偉傑,第二班 - 1600米 - (105-75),0,1,0,0.0
巫偉傑,第二班 - 1600米 - (105-80),0,1,0,0.0
巫偉傑,第二班 - 1650米 - (100-80),0,1,0,0.0
巫偉傑,第五班 - 1000米 - (40-0),0,5,1,0.0
巫偉傑,第五班 - 1200米 - (40-0),0,17,4,0.0
巫偉傑,第五班 - 1400米 - (40-0),2,11,3,18.2
巫偉傑,第五班 - 1600米 - (40-0),0,2,1,0.0
