Trainer,Draw,Wins,Starts,Places,WinRate
大衛希斯,10,1,36,6,2.8
大衛希斯,11,2,47,7,4.3
大衛希斯,12,3,40,5,7.5
大衛希斯,13,2,21,8,9.5
大衛希斯,14,2,27,4,7.4
大衛希斯,2,3,43,6,7.0
大衛希斯,3,3,40,7,7.5
大衛希斯,4,7,40,14,17.5
大衛希斯,5,3,37,7,8.1
大衛希斯,6,3,49,10,6.1
大衛希斯,7,3,38,7,7.9
大衛希斯,8,3,38,11,7.9
大衛希斯,9,5,38,8,13.2
姚本輝,1,3,34,12,8.8
姚本輝,10,2,30,5,6.7
姚本輝,11,1,23,3,4.3
姚本輝,12,5,26,6,19.2
姚本輝,13,2,13,6,15.4
姚本輝,14,3,7,4,42.9
姚本輝,2,7,39,12,17.9
姚本輝,3,1,30,8,3.3
姚本輝,4,1,24,9,4.2
姚本輝,5,2,24,4,8.3
姚本輝,6,2,37,13,5.4
姚本輝,7,1,19,9,5.3
姚本輝,8,1,35,8,2.9
姚本輝,9,1,32,8,3.1
岳伯仁,10,0,1,0,0.0
岳伯仁,14,0,1,0,0.0
岳品賢,4,0,1,0,0.0
岳本賢,2,0,1,0,0.0
岳本賢,7,0,1,0,0.0
巫偉傑,1,2,35,6,5.7
巫偉傑,10,3,18,4,16.7
巫偉傑,11,2,30,5,6.7
巫偉傑,12,1,35,8,2.9
巫偉傑,13,1,16,5,6.2
巫偉傑,14,0,17,1,0.0
巫偉傑,2,2,29,7,6.9
巫偉傑,3,5,32,8,15.6
巫偉傑,4,1,37,6,2.7
巫偉傑,5,2,24,9,8.3
巫偉傑,6,6,42,16,14.3
巫偉傑,7,6,37,14,16.2
巫偉傑,8,0,32,6,0.0
巫偉傑,9,3,34,7,8.8
巴伯樂,6,0,1,0,0.0
布銘球,6,0,1,1,0.0
廖康銘,1,4,30,9,13.3
廖康銘,10,5,42,11,11.9
廖康銘,11,2,34,9,5.9
廖康銘,12,3,27,9,11.1
廖康銘,13,3,14,4,21.4
廖康銘,14,4,17,4,23.5
廖康銘,2,4,27,11,14.8
廖康銘,3,9,46,19,19.6
廖康銘,4,4,47,11,8.5
廖康銘,5,3,33,13,9.1
廖康銘,6,4,41,12,9.8
廖康銘,7,3,36,9,8.3
廖康銘,8,1,30,4,3.3
廖康銘,9,3,33,12,9.1
徐雨石,1,2,30,5,6.7
徐雨石,10,2,25,7,8.0
徐雨石,11,0,22,6,0.0
徐雨石,12,0,30,3,0.0
徐雨石,13,0,8,0,0.0
徐雨石,14,1,8,1,12.5
徐雨石,2,2,22,6,9.1
徐雨石,3,2,28,5,7.1
徐雨石,4,2,19,5,10.5
徐雨石,5,1,13,2,7.7
徐雨石,6,0,21,1,0.0
徐雨石,7,2,16,4,12.5
徐雨石,8,1,23,2,4.3
徐雨石,9,3,30,5,10.0
手塚貴久,6,0,1,1,0.0
文家良,1,4,35,10,11.4
文家良,10,2,32,9,6.2
文家良,11,2,26,5,7.7
文家良,12,2,37,6,5.4
文家良,13,1,12,4,8.3
文家良,14,0,16,0,0.0
文家良,2,3,29,8,10.3
文家良,3,6,20,8,30.0
文家良,4,2,27,6,7.4
文家良,5,5,35,11,14.3
文家良,6,1,27,4,3.7
文家良,7,3,29,9,10.3
文家良,8,1,26,3,3.8
文家良,9,3,34,8,8.8
方嘉柏,1,7,34,13,20.6
方嘉柏,10,2,33,8,6.1
方嘉柏,11,1,33,7,3.0
方嘉柏,12,1,20,5,5.0
方嘉柏,13,1,21,4,4.8
方嘉柏,14,0,6,0,0.0
方嘉柏,2,6,33,11,18.2
方嘉柏,3,5,37,9,13.5
方嘉柏,4,4,37,14,10.8
方嘉柏,5,3,41,10,7.3
方嘉柏,6,4,35,12,11.4
方嘉柏,7,6,38,10,15.8
方嘉柏,8,4,35,8,11.4
方嘉柏,9,7,40,12,17.5
杉山晴紀,8,0,1,0,0.0
桂福特,1,1,18,2,5.6
桂福特,10,3,23,6,13.0
桂福特,11,0,21,3,0.0
桂福特,12,0,14,4,0.0
桂福特,13,0,7,0,0.0
桂福特,14,1,8,1,12.5
桂福特,2,1,29,10,3.4
桂福特,3,3,25,6,12.0
桂福特,4,0,21,4,0.0
桂福特,5,1,20,7,5.0
桂福特,6,3,17,5,17.6
桂福特,7,4,24,9,16.7
桂福特,8,0,17,6,0.0
桂福特,9,3,17,7,17.6
森一誠,10,0,1,0,0.0
武井亮,3,0,1,0,0.0
武井亮,7,0,1,0,0.0
武英智,7,0,1,0,0.0
池江泰壽,11,0,1,1,0.0
沈集成,1,7,35,12,20.0
沈集成,10,5,28,7,17.9
