period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,train_end,test_date
2026-07-01,Win,Logistic Regression,matrix_7d,145.0,11.0,0.24590070493152316,0.0677599295115459,0.02717974754253428,0.7347354138398914,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.6363636363636364,0.34268004722550177,0.5454545454545454,0.6363636363636365,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.5454545454545454,0.5275154177129951,2026-06-27,2026-07-01
2026-07-04,Win,Logistic Regression,matrix_7d,130.0,11.0,0.2555889755920825,0.0725832604676202,0.02385658599108905,0.7700534759358288,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.5491735537190082,0.5454545454545454,0.7575757575757575,0.0,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.6721353772229937,2026-07-01,2026-07-04
2026-07-08,Win,Logistic Regression,matrix_7d,103.0,9.0,0.26851320781271215,0.07410149114067553,0.014800476875398665,0.723404255319149,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.5802469135802469,0.3333333333333333,0.6296296296296297,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.5549310016000644,2026-07-04,2026-07-08
2026-07-12,Win,Logistic Regression,matrix_7d,152.0,11.0,0.23757883078525666,0.06358871870872952,0.03372352200926168,0.7156673114119922,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.4394332939787486,0.4848484848484848,0.6363636363636364,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.4848484848484848,0.5242136765481968,2026-07-08,2026-07-12
2026-05-09,Win,LightGBM,matrix_7d,141.0,11.0,0.2788600949678819,0.07298649282278351,0.014933310519305736,0.515034965034965,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.26378394332939786,0.30303030303030304,0.45454545454545453,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.30303030303030304,0.325498502568464,2026-05-06,2026-05-09
2026-05-13,Win,LightGBM,matrix_7d,101.0,9.0,0.2803324571552477,0.07681592152156315,0.040815653171006536,0.6932367149758453,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4825396825396826,0.5555555555555556,0.6296296296296297,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.5696282066521842,2026-05-09,2026-05-13
2026-05-17,Win,LightGBM,matrix_7d,146.0,11.0,0.2533726210451024,0.06764061949931581,0.017974338004305528,0.7003367003367004,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.37979797979797975,0.45454545454545453,0.606060606060606,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.4647009633706638,2026-05-13,2026-05-17
2026-05-20,Win,LightGBM,matrix_7d,108.0,9.0,0.2725179013940697,0.07368470285584874,0.025649694072028065,0.6778900112233446,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.3398148148148148,0.48148148148148145,0.6296296296296295,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.48148148148148145,0.529498149845602,2026-05-17,2026-05-20
2026-05-24,Win,LightGBM,matrix_7d,145.0,11.0,0.23733665280980093,0.06499499114735008,0.021195956967345997,0.8195386702849389,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.9090909090909091,0.4946969696969697,0.3636363636363636,0.606060606060606,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.3636363636363636,0.5310674570977291,2026-05-20,2026-05-24
2026-05-27,Win,LightGBM,matrix_7d,104.0,9.0,0.27692870844265227,0.07523279835609056,0.014124735282328079,0.6596491228070175,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.45361952861952864,0.2962962962962963,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.2962962962962963,0.44389097976470276,2026-05-24,2026-05-27
2026-06-03,Win,LightGBM,matrix_7d,95.0,8.0,0.24708885604902867,0.06913335896366833,0.02669972443541526,0.8160919540229885,0.375,0.5,0.875,0.875,0.5738636363636364,0.5416666666666666,0.625,0.125,0.625,0.25,0.5416666666666666,0.5898535389026363,2026-05-27,2026-06-03
2026-06-07,Win,LightGBM,matrix_7d,117.0,9.0,0.26008378478546756,0.0685953299226874,0.007602235966913085,0.6244855967078188,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4532159198825865,0.4074074074074074,0.6296296296296297,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.4074074074074074,0.5261118714842823,2026-06-03,2026-06-07
2026-06-10,Win,LightGBM,matrix_7d,106.0,9.0,0.2701018520814809,0.07375557567800299,0.0098629715382244,0.6941580756013745,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.42028619528619526,0.48148148148148145,0.7037037037037037,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.48148148148148145,0.5517543310787681,2026-06-07,2026-06-10
2026-06-13,Win,LightGBM,matrix_7d,131.0,11.0,0.2722260448823581,0.0733936748532775,0.03224046762349468,0.6568181818181817,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.43664668664668665,0.42424242424242425,0.6969696969696969,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.42424242424242425,0.5803659858629382,2026-06-10,2026-06-13
2026-06-21,Win,LightGBM,matrix_7d,145.0,11.0,0.25646420856346896,0.06860746519973247,0.014301509894054945,0.683853459972863,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.7272727272727273,0.3630263675718221,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.42809990969823625,2026-06-13,2026-06-21
2026-06-27,Win,LightGBM,matrix_7d,150.0,11.0,0.24191083532447058,0.06487973286292466,0.0201727111163804,0.7246566383257032,0.0,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.31739472648563555,0.4242424242424242,0.5757575757575757,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.4242424242424242,0.41170407716727003,2026-06-21,2026-06-27
2026-07-01,Win,LightGBM,matrix_7d,145.0,11.0,0.24589608381987538,0.06764117143460335,0.015246577964354158,0.7774762550881954,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.7272727272727273,0.3553030303030303,0.5454545454545454,0.6666666666666667,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.5156181078517483,2026-06-27,2026-07-01
2026-07-04,Win,LightGBM,matrix_7d,130.0,11.0,0.2560329033576733,0.07171639399821736,0.02265466091683481,0.7723453017570665,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.5555555555555555,0.45454545454545453,0.8181818181818182,0.0,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.7042659013285945,2026-07-01,2026-07-04
