Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
金誠剛,大衛希斯,0,15,0,0.0,0.0
金誠剛,姚本輝,3,51,18,5.9,35.3
金誠剛,廖康銘,2,17,4,11.8,23.5
金誠剛,徐雨石,0,21,0,0.0,0.0
金誠剛,方嘉柏,0,5,0,0.0,0.0
金誠剛,沈集成,2,43,8,4.7,18.6
金誠剛,游達榮,1,47,2,2.1,4.3
金誠剛,羅富全,0,6,0,0.0,0.0
金誠剛,葉楚航,0,12,1,0.0,8.3
金誠剛,蔡約翰,0,7,1,0.0,14.3
金誠剛,蘇偉賢,0,19,6,0.0,31.6
金誠剛,賀賢,0,3,0,0.0,0.0
金誠剛,鄭俊偉,1,49,4,2.0,8.2
金誠剛,韋達,0,25,3,0.0,12.0
鍾易禮,丁冠豪,0,8,0,0.0,0.0
鍾易禮,伍鵬志,0,16,0,0.0,0.0
鍾易禮,呂健威,0,5,1,0.0,20.0
鍾易禮,告東尼,16,206,39,7.8,18.9
鍾易禮,大衛希斯,0,2,0,0.0,0.0
鍾易禮,巫偉傑,0,3,0,0.0,0.0
鍾易禮,廖康銘,0,7,0,0.0,0.0
鍾易禮,徐雨石,2,29,6,6.9,20.7
鍾易禮,文家良,0,13,0,0.0,0.0
鍾易禮,桂福特,0,6,0,0.0,0.0
鍾易禮,沈集成,3,34,6,8.8,17.6
鍾易禮,游達榮,1,14,4,7.1,28.6
鍾易禮,羅富全,0,4,0,0.0,0.0
鍾易禮,葉楚航,0,27,1,0.0,3.7
鍾易禮,蔡約翰,0,1,0,0.0,0.0
鍾易禮,蘇偉賢,0,1,0,0.0,0.0
鍾易禮,鄭俊偉,0,2,0,0.0,0.0
鍾易禮,黎昭昇,0,4,0,0.0,0.0
霍宏聲,丁冠豪,0,13,0,0.0,0.0
霍宏聲,伍鵬志,4,32,7,12.5,21.9
霍宏聲,呂健威,3,25,11,12.0,44.0
霍宏聲,告東尼,0,1,0,0.0,0.0
霍宏聲,大衛希斯,3,41,6,7.3,14.6
霍宏聲,姚本輝,1,12,3,8.3,25.0
霍宏聲,巫偉傑,0,1,1,0.0,100.0
霍宏聲,廖康銘,7,102,28,6.9,27.5
霍宏聲,徐雨石,0,1,0,0.0,0.0
霍宏聲,文家良,0,2,0,0.0,0.0
霍宏聲,方嘉柏,2,14,4,14.3,28.6
霍宏聲,桂福特,0,11,4,0.0,36.4
霍宏聲,沈集成,0,4,0,0.0,0.0
霍宏聲,游達榮,5,56,12,8.9,21.4
霍宏聲,羅富全,2,24,3,8.3,12.5
霍宏聲,葉楚航,0,7,1,0.0,14.3
霍宏聲,蘇偉賢,0,6,1,0.0,16.7
霍宏聲,賀賢,0,3,0,0.0,0.0
霍宏聲,鄭俊偉,0,3,0,0.0,0.0
霍宏聲,韋達,5,35,8,14.3,22.9
霍宏聲,黎昭昇,0,4,0,0.0,0.0
韋紀力,呂健威,0,4,1,0.0,25.0
韋紀力,大衛希斯,0,3,1,0.0,33.3
韋紀力,巫偉傑,1,2,2,50.0,100.0
韋紀力,蔡約翰,0,7,2,0.0,28.6
馬昆,丁冠豪,0,1,0,0.0,0.0
馬昆,游孝廉,0,1,0,0.0,0.0
高力德,杉山晴紀,0,1,0,0.0,0.0
麥文堅,丁冠豪,0,1,0,0.0,0.0
麥文堅,伍鵬志,0,2,1,0.0,50.0
麥文堅,呂健威,0,1,0,0.0,0.0
麥文堅,大衛希斯,1,6,1,16.7,16.7
麥文堅,姚本輝,3,15,5,20.0,33.3
麥文堅,岳本賢,0,2,0,0.0,0.0
麥文堅,巫偉傑,0,6,0,0.0,0.0
麥文堅,廖康銘,0,5,0,0.0,0.0
麥文堅,徐雨石,0,3,0,0.0,0.0
麥文堅,文家良,1,8,3,12.5,37.5
麥文堅,方嘉柏,0,7,2,0.0,28.6
麥文堅,沈集成,0,12,2,0.0,16.7
麥文堅,游達榮,1,18,3,5.6,16.7
麥文堅,羅富全,0,4,2,0.0,50.0
麥文堅,葉楚航,1,6,1,16.7,16.7
麥文堅,蔡約翰,3,31,9,9.7,29.0
麥文堅,蘇偉賢,0,3,0,0.0,0.0
麥文堅,賀賢,0,1,0,0.0,0.0
麥文堅,鄭俊偉,0,1,0,0.0,0.0
麥文堅,韋達,0,7,2,0.0,28.6
麥文堅,黎昭昇,0,3,0,0.0,0.0
麥道朗,伍鵬志,1,10,2,10.0,20.0
麥道朗,呂健威,1,2,2,50.0,100.0
麥道朗,告東尼,0,4,1,0.0,25.0
麥道朗,大衛希斯,0,9,2,0.0,22.2
