Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
莫艾誠,侯耀誠,0,1,0,-1.0,0.0,0.0,-100.0
莫艾誠,包義定,0,2,0,-2.0,0.0,0.0,-100.0
莫艾誠,岳品賢,0,1,0,-1.0,0.0,0.0,-100.0
莫艾誠,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,伍鵬志,0,2,0,-2.0,0.0,0.0,-100.0
莫雅,堀宣行,0,1,0,-1.0,0.0,0.0,-100.0
潘大衛,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
潘大衛,廖康銘,0,4,0,-4.0,0.0,0.0,-100.0
潘大衛,徐雨石,0,2,0,-2.0,0.0,0.0,-100.0
潘大衛,文家良,0,1,0,-1.0,0.0,0.0,-100.0
潘大衛,方嘉柏,0,29,4,-29.0,0.0,13.8,-100.0
董明朗,伍鵬志,0,4,1,-4.0,0.0,25.0,-100.0
董明朗,姚本輝,0,10,2,-10.0,0.0,20.0,-100.0
董明朗,容天鵬,0,5,0,-5.0,0.0,0.0,-100.0
董明朗,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,黎昭昇,0,2,0,-2.0,0.0,0.0,-100.0
莫雷拉,伍鵬志,0,5,2,-5.0,0.0,40.0,-100.0
莫雷拉,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,國枝榮,0,1,1,-1.0,0.0,100.0,-100.0
莫雷拉,韋達,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,黎昭昇,0,2,0,-2.0,0.0,0.0,-100.0
菅原明良,高柳瑞樹,0,1,0,-1.0,0.0,0.0,-100.0
巴度,桂福特,0,5,1,-5.0,0.0,20.0,-100.0
巴度,沈集成,0,13,2,-13.0,0.0,15.4,-100.0
董明朗,丁冠豪,0,2,0,-2.0,0.0,0.0,-100.0
李慕華,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
杜滿樂,池江泰壽,0,1,1,-1.0,0.0,100.0,-100.0
杜滿樂,池添學,0,1,0,-1.0,0.0,0.0,-100.0
杜滿樂,雷里雅,0,1,0,-1.0,0.0,0.0,-100.0
溫蘿,顧永賢,0,1,0,-1.0,0.0,0.0,-100.0
