Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Ungarrie Rifle Range,Shooting Range,Unknown,-33.6427059,147.0011315
Facility on Castlereagh Highway,Shooting Range,"Walgett, New South Wales, 2832",-30.0056881,148.139906
Coffs Harbour Rifle Club,Shooting Range,Unknown,-30.3104861,153.1305135
Darnick Gun Club,Shooting Range,Unknown,-32.8518907,143.6220596
Facility on Burnside Quarry Track,Shooting Range,"Greenhill, South Australia, 5140",-34.9503857,138.6748688
Eastern Amateur Pistol Club Inc (Google),Shooting Range,"Greenhill, South Australia, 5140",-34.9500575,138.6790623
Hall's Firearms,Gun Shop,4700,-23.389028,150.5066089
SSAA Wodonga Rifle Range (Google),Shooting Range,"Victoria, 3691",-36.0987531,146.7945143
Melbourne International Shooting Club,Shooting Range,"Port Melbourne, Victoria, 3207",-37.8292749,144.914371
Clayton Firearms,Gun Shop,Unknown,-37.9282901,145.1194911
Facility on Cleverdon Court,Shooting Range,"Chinchilla, Queensland, 4413",-26.7587479,150.6513671
Yatpool Rifle Range,Shooting Range,Unknown,-34.3813349,142.1960313
Sporting Shooters Association of Australia Shooting Complex,Shooting Range,Canberra,-35.2109751,149.1985975
Facility on Hector McIntosh Grove,Shooting Range,Canberra,-35.2116052,149.1984223
Sporting Shooters Association of Australia Act Inc. (Google),Shooting Range,Canberra,-35.2120371,149.198579
Sporting Shooters Association of Australia Act Inc. (Google),Shooting Range,Canberra,-35.2129877,149.1981449
Blanchetown Pistol & Smallbore Club,Shooting Range,Unknown,-34.3622187,139.6143864
Stawell Rifle Range,Shooting Range,Unknown,-37.076824,142.7999916
Stawell Pistol Club,Shooting Range,Unknown,-37.0747614,142.8003413
SSAA Belmont 50m Pistol Range,Shooting Range,Unknown,-27.5129223,153.1279939
SSAA Belmont 200m Pistol Range,Shooting Range,Unknown,-27.5134085,153.1286588
SSAA Belmont Main range,Shooting Range,Unknown,-27.5148908,153.1283019
Pistol Club,Shooting Range,Unknown,-19.7014255,147.282541
Rifle Range,Shooting Range,Unknown,-19.7007733,147.278419
Palmerston Pistol Club (Google),Shooting Range,"Archer, 0830",-12.5109754,130.9554849
Dimboola Rifle Range,Shooting Range,Unknown,-36.469902,142.0230745
Newcastle Pistol Club (Google),Shooting Range,"Waratah West, New South Wales, 2298",-32.9017169,151.7138086
Newcastle Pistol Club (Google),Shooting Range,"Waratah West, New South Wales, 2298",-32.9020718,151.7155024
Grantville (Glen Forbes) Rifle Range,Shooting Range,"Victoria, 3990",-38.4295908,145.5116281
25 Metre Range,Shooting Range,Unknown,-38.3130649,144.6847279
Coonabarabran Rifle Range,Shooting Range,Unknown,-31.4073245,149.4754471
Horsham Rifle Range,Shooting Range,Unknown,-36.7357619,142.1445293
Kaniva Rifle Range (Google),Shooting Range,"Kaniva, Victoria, 3419",-36.3904035,141.2486628
Kalgoorlie Rifle Range,Shooting Range,Unknown,-30.7436038,121.4329575
Geraldton Small Bore Rifle Range,Shooting Range,Unknown,-28.7696834,114.6412909
Rifle Range,Shooting Range,Unknown,-28.7279108,115.05968
